Symbol,N2A,N3A,N5B,N6B,N7B,N8B,N10B,N12B,N13B
A1BG,6.469841868,6.203464232,6.88857471,5.273028493,6.417217857,5.997889512,6.623160835,6.391958435,5.697619513
A1BG-AS1,5.719695811,5.456240165,6.201278458,4.484042832,5.512423428,5.159483262,5.978861993,5.478157402,4.877217949
A1CF,12.18528407,12.50966582,12.13041232,12.32442923,12.56852011,12.35361077,12.39876796,12.27268284,12.24597409
A2M,15.47535364,14.99760703,15.37601713,15.1319202,15.00803398,15.24279998,15.60776231,15.34886166,15.09186966
A2M-AS1,7.450052412,7.514130503,7.281880934,7.258394874,7.532757115,7.257830981,7.753721096,7.558048847,7.302396745
A4GALT,11.16192224,11.04862208,11.16955628,11.28029947,11.19046531,11.01052429,12.09935358,11.41805633,11.27960746
A4GNT,7.300469063,5.576220901,7.185369534,6.24035504,6.23473351,8.421187335,6.261066778,6.391958435,7.216288652
AAAS,11.12331435,10.90045304,10.98798815,11.01333215,11.0687864,11.06159143,10.73930435,10.89252,10.74579296
AACS,10.38040901,10.60736492,10.34457255,10.71943307,10.56877195,10.54913729,10.5339919,10.71898898,10.45890919
AACSP1,7.881646277,7.727277251,7.053640086,7.452231691,6.389662368,6.530432965,8.165592646,6.07708944,4.370172829
AADAT,8.637891342,8.520625521,9.154032208,8.664816543,8.673544103,8.546500579,8.267949854,8.729986207,9.22773953
AAED1,8.019092054,8.152474586,8.2349027,8.159433723,8.10413213,7.927675007,8.140082669,8.146194521,8.954831542
AAGAB,10.7596058,10.88509257,10.62340661,10.62006971,10.74311152,10.81244878,10.75473829,10.73740653,10.70828949
AAK1,13.6357263,13.56351215,13.33159207,13.47138927,13.43338342,13.4671194,13.67397878,13.4481501,13.64933084
AAMDC,8.923573452,9.07608796,8.982967689,8.835108796,9.198419574,9.044087774,8.743067316,8.892590308,8.910646423
AAMP,11.99700865,11.98729007,12.07647992,12.09852708,11.96741867,12.06846262,12.03228021,12.14705008,12.06246435
AANAT,5.619184827,5.179900528,5.049927593,5.071014578,5.2029652,4.990298796,6.338748949,5.100050992,5.840430671
AAR2,10.54582136,10.50483401,10.4809157,10.39784853,10.66241216,10.42054549,10.54750578,10.48010368,10.39857088
AARD,5.969386469,6.575733644,6.167347055,7.570468979,6.111603958,6.50110454,5.496524758,6.418825936,6.52152308
AARS,12.89161817,13.07028001,12.93660815,12.74357898,12.87308816,12.81391439,12.81077813,12.85771189,12.66270498
AARS2,10.94637709,10.90366063,10.92861803,10.82383411,10.9342583,11.10836594,10.98110719,11.0203492,10.70465667
AASDH,10.04807256,10.22397412,9.909738363,10.04237813,10.1021281,9.788149542,9.918321082,9.740845722,9.894076861
AASDHPPT,10.16891378,10.38814178,10.15185852,10.40087408,10.38984167,10.34781278,10.19290069,10.20776133,10.24940459
