"","Differential_Expression","Fold_Change","renal_Means","healthy_Means","renal_0","renal_3","renal_6","renal_9","X5_AK125p1_Adh.count","X6_AK125p1_SPH3d.count","X7_AK125p1_SPH6d.count","X8_AK125p1_SPH9d.count","AK82p2Adh","AK82p3SPH3d","AK82p3SPH6d","AK82p3SPH10d","AK86p1Adh","AK86p2.SPH3d","AK86p2.SPH6d","AK86p2.SPH10d"
"EEF1A1",210936,0.187,48649.75,259585.25,90272,38853,34048,31426,239248,104936,103173,96223,369732,358958,354492,298852,255621,339466,310284,284038
"SPP1",168566,0.31,75657.25,244223.667,65298,79054,80888,77389,127128,145794,164672,168254,207451,271193,405106,399705,149488,264813,374388,252692
"GAPDH",64730,0.284,25728.5,90458.833,50985,17807,16654,17468,99960,54280,52301,49922,197908,88206,80886,74397,137540,91967,81636,76503
"ACTB",63054,0.189,14693.25,77747.083,23576,13526,10654,11017,55506,44955,48192,41221,141949,84291,93010,79206,85586,86125,82400,90524
"PKM",49623,0.254,16907,66529.583,24223,14980,14042,14383,44159,47754,45858,41527,98241,83227,80446,73785,36763,84009,77840,84746
"ACTG1",48854,0.2,12176.5,61030.5,22573,9354,7980,8799,56936,33260,36404,33062,87108,63832,74141,70191,49178,67353,71902,88999
"TPT1",44349,0.252,14955.25,59304.583,20852,16071,12141,10757,50400,45227,36541,31277,70837,73093,68178,58600,70156,85145,68374,53827
"APP",43083,0.205,11095.5,54178.333,10122,10025,11406,12829,22980,34506,41493,40545,29785,64443,84487,86396,17193,70066,82498,75748
"ITGB1",42873,0.172,8891.5,51764.167,13689,7848,7235,6794,35480,25353,28416,24352,71893,58946,75348,61731,39034,57480,68742,74395
"ITGA3",42182,0.223,12093.25,54275.083,16989,12031,9847,9506,34065,37068,37976,31792,66552,67193,67940,64517,40550,71168,66258,66222
"CD24",41714,0.216,11462,53175.583,15392,10237,10015,10204,32246,30924,33000,31193,32022,61796,88364,86975,22302,62035,78315,78935
"FTL",40830,0.414,28790.25,69619.75,43755,25884,22577,22945,102383,70698,76114,70852,54045,86606,74025,73476,48715,80936,56773,40814
"ENO1",39477,0.18,8674.75,48151.5,15733,5745,6459,6762,32386,20727,22796,20486,115134,52682,56422,49390,52554,48857,52189,54195
"FTH1",34238,0.413,24129.25,58366.917,41911,21204,16988,16414,82156,56716,54788,48194,72329,69510,53322,47670,50331,72315,50154,42918
"AHNAK",32651,0.112,4135,36786.25,6527,2812,3750,3451,11620,9726,12685,10344,43848,44861,51700,46990,27703,48435,58478,75045
"ITM2B",32607,0.298,13858.25,46465.583,12999,15913,13127,13394,27992,43048,42279,39884,25175,59702,69200,64698,25088,58812,57211,44498
"FN1",32014,0.579,44045,76058.5,110993,30854,19374,14959,106221,70244,63233,41505,62691,181963,76237,43674,27776,127619,38869,72670
"CTSD",30978,0.301,13351.75,44329.583,14332,11041,12405,15629,37448,40079,52291,53841,18419,57626,53975,62983,8925,57473,47544,41351
"S100A6",30770,0.092,3111.75,33881.25,6739,2077,1763,1868,15292,9160,9083,7603,57942,38977,42301,44065,52298,35948,37213,56693
"EEF2",30682,0.335,15444.25,46126.5,26275,14205,11337,9960,61685,37262,31831,28247,51676,54630,45025,43864,34303,67288,53282,44425
