Symbol,B3B,B4B,B5B,B6B,B8B,B9B
A1BG,6.392371463,6.330405368,6.820246017,6.563131101,7.050307589,6.528168057
A1BG-AS1,5.465347262,6.173527848,6.19045205,5.977362499,5.598883033,6.029562724
A1CF,11.95652194,12.83770759,12.26779762,11.83279033,11.9533799,12.24901527
A2M,15.22917004,15.45965053,15.30175638,15.67065864,15.05524628,15.03537442
A2M-AS1,7.556442077,7.750160811,7.119459978,7.645756355,7.556536568,7.43290577
A4GALT,11.52927915,10.97548188,11.59942062,11.81088974,11.3399141,11.4931889
A4GNT,7.486607969,7.854310738,7.132897526,7.408722776,5.974478588,7.335502001
AAAS,11.08507762,11.0740942,11.18996412,11.01003486,11.07986425,11.06572436
AACS,10.63678107,10.47631645,10.7033031,10.56433095,10.74255232,10.83824786
AACSP1,7.56776338,6.625972405,7.184952761,5.649440088,5.66312788,7.239572397
AADAT,7.91534645,9.275662705,8.75178226,8.474376125,8.62571947,8.64571854
AAED1,7.880406877,7.854310738,7.578543563,8.003255066,8.015819183,7.829509929
AAGAB,10.73304944,10.82598035,10.64212136,10.82535571,10.80895505,10.62670724
AAK1,13.57829501,13.60958866,13.53034865,13.38834761,13.49938989,13.65353115
AAMDC,9.018275517,9.212866742,9.222808939,8.978723004,9.590146227,9.003285607
AAMP,12.19144635,11.97776637,12.27350494,12.16539503,12.58256711,12.2398669
AANAT,5.010580729,5.160938999,5.529456535,5.609946628,4.526252909,3.986626744
AAR2,10.85130207,10.69847638,10.7610246,10.75702422,10.85105092,10.7050999
AARD,7.675768286,4.495764638,7.119459978,6.11399446,6.192786532,5.654457476
AARS,12.89287746,12.95438913,12.95946259,12.914249,12.52727105,12.86984574
AARS2,11.03770317,11.03926495,11.13942659,10.91147429,10.82642716,11.08349919
AASDH,9.689495522,10.14441355,9.542990741,9.688827308,9.49509895,9.816607102
AASDHPPT,9.932016264,9.889915216,9.69286457,10.02959614,9.676134661,9.94908418
AASS,11.64720784,12.65339161,12.1032743,12.31083391,12.0871288,12.37295495
AATBC,8.222530073,7.809792412,8.192831146,8.212942667,7.119282741,7.95723683
AATF,10.99182946,10.97121861,10.91485919,11.02175875,10.81074874,10.86523796
AATK,9.58746845,8.811598116,10.17545466,9.821134003,9.06112292,10.00745383
ABALON,8.146418038,8.355939888,8.307749709,7.795608657,8.122000433,7.611364991
ABAT,14.15764919,14.67486666,14.5278258,14.4591425,14.00735445,14.66808686
ABCA1,12.29828752,13.1612333,12.18896487,12.53658172,12.79401915,12.31860857
ABCA10,9.992953086,9.881116241,9.484837499,9.366406921,9.947077754,9.406776289
ABCA11P,8.457957888,8.594159984,8.152474586,8.252273458,8.464487385,8.432264648
ABCA12,6.345601655,6.690314592,5.401678517,6.196266326,5.107277713,5.952830309
ABCA13,7.065732583,5.326054225,3.672920967,6.269634948,8.838389985,8.926388072
ABCA2,13.01273051,12.73379878,13.05115152,12.92352334,12.64307267,13.08106231
ABCA3,11.09928247,10.87689356,10.99792723,10.83254981,10.69384555,11.06344663
ABCA4,9.095214762,8.475255117,8.02162094,8.279451118,9.069961271,9.472269721
ABCA5,11.07086609,11.33742872,11.18908773,11.31126504,10.89140616,11.04689608
ABCA6,10.14200014,10.47130993,10.15306219,9.955677999,10.40502271,9.819423483
ABCA7,10.6758586,10.39054598,10.51211023,10.38909276,9.910917681,10.33260329
ABCA8,11.78878082,11.70277294,11.37346286,10.79352377,11.42469003,11.12343126
ABCA9,9.832579316,9.655102621,9.426085858,9.373153823,9.870778544,9.415674335
ABCB1,12.63350403,12.81193665,12.43661582,12.78930985,12.41110304,12.73658293
ABCB10,10.26533228,10.35677544,10.22658053,10.24123174,10.37240216,10.38848783
ABCB4,7.591072122,7.007772062,7.894393109,7.768074152,7.422125377,6.660444426
ABCB6,10.76781633,10.85216064,10.84352224,10.78937761,10.5768645,10.72977412
ABCB7,10.34525437,10.54945021,10.35759635,10.29901186,10.30864768,10.35224929
ABCB8,11.61941018,11.5058704,11.72055656,11.4005811,11.42776916,11.55236393
ABCB9,9.109501966,8.781244871,9.266009802,9.126698348,9.111324224,9.391556298
ABCC1,11.67941318,11.4956529,11.61248592,11.49438369,11.37479056,11.90482098
ABCC10,11.54356636,11.23698658,11.47262226,11.49283889,11.04752069,11.52792498
ABCC11,7.013702751,4.915226356,5.084436604,4.709594781,4.306553684,4.897042917
ABCC2,13.00638363,13.31357288,13.36079304,13.18264879,12.9830487,12.96119033
ABCC3,12.39699464,11.41579604,11.67446921,11.60725485,11.73886649,12.09409538
ABCC4,13.16644765,12.20021125,12.09226604,12.80791805,12.73803591,12.48270741
ABCC5,11.98568387,12.00907632,12.01642389,11.85541899,12.03553601,11.88866399
ABCC6,13.7948731,13.71257548,13.99301197,13.70481263,13.13968264,13.67210102
ABCC6P1,9.283053956,10.11045003,10.2028885,10.83043184,9.757756326,9.843547746
ABCC6P2,8.976140219,8.768696347,9.044478075,8.839322058,9.241758929,8.764531417
ABCC8,7.151973331,6.735341864,7.415994622,6.788464832,7.281083253,6.34809127
ABCC9,10.74689203,10.77179844,10.28573797,10.34324035,11.50570773,10.82925598
ABCD1,10.11530061,10.07398611,10.48901347,10.32508183,9.778833688,10.18541982
ABCD2,7.533911811,7.646618598,7.976857466,6.918402055,7.527446529,6.936938123
ABCD3,12.22959406,12.29729962,11.93587473,12.24787608,11.80545653,12.30341112
ABCD4,12.17673254,12.04558832,12.05002148,11.9555426,11.96227768,11.99103181
ABCE1,10.01971598,10.2448188,9.781029483,10.14019576,9.573314149,10.16224375
ABCF2,11.23922566,11.36307645,11.43024569,11.32700723,11.14803785,11.35955678
ABCF3,11.66732537,11.74761381,11.83239174,11.74238054,11.6909219,11.78279714
ABCG1,9.841755323,10.88534622,10.39214208,11.14713062,10.29008458,10.63931553
ABCG2,8.808088915,9.282843933,8.714963357,8.971367901,9.204296581,9.003285607
ABCG5,6.23180676,6.645447341,6.366684754,6.676613676,6.683782191,6.72504423
ABCG8,5.835423952,6.56625243,4.956616434,5.393682728,6.03183144,6.843887352
ABHD1,7.99577382,7.872237764,8.106274037,7.768074152,7.629306157,8.024756492
ABHD10,11.36406454,11.34291574,11.24246878,11.14487454,11.30945152,11.36204251
ABHD11,10.48376507,9.956138294,10.23185687,10.2907442,10.40069579,10.48880487
ABHD11-AS1,6.211812217,5.829800005,6.094244821,5.649440088,5.1899235,6.087031264
ABHD12,11.30101276,11.29854897,11.45739903,11.20147957,11.91666624,11.59130434
ABHD13,8.570982003,8.69994403,8.60765533,9.028511254,8.878008624,8.882666996
ABHD14A,10.36028393,10.18625607,10.44031694,9.982554921,11.01910082,10.52086276
ABHD14B,12.7253058,12.57259374,12.93581685,12.72463337,12.85568635,12.75160354
ABHD15,11.41364021,11.09134055,11.66323476,11.14889679,11.45004981,11.42817275
ABHD16B,8.626971157,8.475255117,9.047133945,8.747586723,8.381251468,8.741260037
ABHD17A,11.05579608,10.36748666,11.23910474,11.10736988,11.50458354,11.12785905
ABHD17B,9.543397624,9.342909267,9.572261427,9.865589623,9.474286091,9.765637145
ABHD17C,9.514946141,9.144042233,9.063763336,9.339795464,9.506434005,9.857208881
ABHD18,10.26722254,10.37372846,10.27771073,10.13176855,10.19786663,10.37264872
ABHD2,13.02783635,13.26711523,13.07545678,12.97354467,13.16765942,13.23497137
