"Gene","Regulation","Disease","DE_ctrl_adv","DE_ctrl_early","DE_early_adv","Fold_Change_Early_Control","Fold_Change_Advanced_Control","Fold_Change_Advanced_Early","Advanced_DM_Means","Early_DM_Means","Control_noDM_Means","A11A","A12A","A13A","A14A","A15A","A17A","A18A","A19A","A20A","A21A","A22A","A23A","A24A","A25A","A26A","A28A","A29A","A30A","A31A","A32A","A33A","B3B","B4B","B5B","B6B","B8B","B9B","N2A","N3A","N5B","N6B","N7B","N8B","N10B","N12B","N13B"
"RETN","increased","Diabetes Mellitis",-0.946,0.981,-1.927,0.43,1.549,3.601,2.668,0.741,1.722,0.397763887,0.435358187,1.397102989,0.538265459,4.607630743,7.350341069,5.839359387,5.16697484,1.911560965,0.436158066,0.485446671,0.399363645,1.397102989,4.617246683,5.925599318,0.671126785,0.876175611,3.922736281,2.764771268,0.538265459,6.34809127,0.538265459,0.403363038,1.090079389,1.387928501,0.538265459,0.485446671,0.788927876,3.421145623,1.266313173,3.040142366,3.292087985,0.442557096,0.485446671,2.012436927,0.746672846
"GPR15","increased","Diabetes Mellitis",-0.33,1.803,-2.133,0.436,1.103,2.532,3.525,1.392,3.195,3.310221052,4.992126462,1.397102989,7.561968168,3.331364954,2.769487603,3.980957649,5.217230336,1.911560965,1.090079389,3.785704203,2.032767645,3.899470158,3.689148801,3.666370962,7.855036226,1.976491825,6.701168893,2.436186927,0.397763887,2.012436927,4.757084109,0.849531882,0.421760249,1.387928501,0.538265459,0.399363645,4.857742667,4.13182593,4.003707171,4.087124805,1.654634553,1.616081744,4.416166294,0.434558309,3.554440151
"LINC01924","increased","Diabetes Mellitis",-1.268,0.654,-1.922,0.666,1.648,2.474,3.226,1.304,1.958,2.97937865,2.487612698,0.945074371,2.055567944,2.447212526,2.769487603,5.101109053,4.213134902,3.264534831,5.791916165,3.282401135,2.032767645,4.408191132,3.409916366,4.852808619,3.350319706,0.876175611,2.992002333,6.25259629,2.230442202,2.012436927,0.538265459,0.849531882,1.090079389,3.785704203,0.538265459,1.021751519,0.404162917,3.421145623,3.301384602,2.158248653,3.292087985,0.442557096,3.767382294,0.434558309,0.40256316
"ACKR1","increased","Diabetes Mellitis",-3.19,0.108,-3.298,0.984,1.481,1.505,9.828,6.53,6.638,9.432538844,9.699450366,7.7379678,9.577863171,10.47659146,10.76435828,11.24980657,9.609690846,10.35020156,9.773928621,9.958690997,8.389837478,10.73035434,10.58409189,10.85802583,10.24539886,7.67837579,9.840951693,10.85361397,8.996771356,9.582632328,7.035627525,4.915226356,5.684145064,6.897958396,7.56776338,7.081931368,6.661234041,6.553187758,6.71409991,6.061869184,5.691598713,7.380134869,6.623160835,6.037648533,8.020436309
"GREM1","increased","Diabetes Mellitis",-3.85,-2.461,-1.389,2.107,2.732,1.297,6.073,4.684,2.223,7.084098768,5.314215924,3.809963495,7.071858518,6.404712899,6.436501688,4.743703943,5.840663217,7.06982917,5.152296597,5.569226609,6.257955429,6.848806873,7.76828278,6.328865961,7.424898285,6.449496647,7.905596549,2.436186927,4.351313741,7.257830981,6.547477864,3.170508835,5.197860419,3.978226805,5.221966142,3.986626744,1.406277477,2.447212526,4.003707171,2.158248653,0.436158066,0.442557096,2.97937865,0.434558309,5.697619513
"ACTA1","increased","Diabetes Mellitis",-1.083,-2.608,1.525,1.804,1.334,0.739,4.327,5.852,3.244,15.34886166,4.024509556,3.538287153,2.998649634,3.331364954,3.207494659,7.820464132,5.217230336,0.397763887,2.97937865,2.654638801,3.244968183,7.178909164,2.592178929,5.581902467,2.504361916,3.74256284,3.224946509,5.733273277,2.230442202,3.310221052,3.098847567,8.198063034,3.873361564,4.709594781,6.843169369,8.390375702,2.451590823,0.419360613,3.301384602,4.204476462,4.010916215,3.674483507,2.97937865,4.196658937,3.957134072
"COL6A5","increased","Diabetes Mellitis",-4.093,-0.39,-3.703,1.204,3.144,2.611,6.002,2.299,1.909,4.990298796,6.524495849,4.611453344,4.154835286,5.919503061,7.105350399,5.997889512,8.381987137,8.07354607,4.740758791,5.370816482,4.18413245,6.848806873,7.86987581,7.88185322,7.155093959,1.976491825,5.103922831,7.599067895,5.197445352,6.34809127,2.306343042,1.989117181,2.134593951,1.387928501,3.0005806,2.973400595,1.998084263,2.447212526,3.301384602,2.669862696,0.436158066,0.442557096,0.397763887,2.654638801,2.829306484
"LINC02133","increased","Diabetes Mellitis",0.61,-1.621,2.231,1.902,0.661,0.347,1.187,3.418,1.797,0.608075447,1.3812812,0.399363645,1.705805889,0.397763887,1.442815717,0.788927876,0.399363645,2.514336283,0.538265459,0.397763887,0.399363645,0.397763887,2.451590823,2.253845551,0.431358794,0.876175611,1.819868736,3.30437363,0.397763887,2.012436927,1.365201229,7.965758952,2.134593951,3.785704203,1.939208231,3.316068475,2.983332323,4.263050366,0.404162917,2.669862696,3.292087985,0.442557096,1.283524232,0.434558309,0.40256316
"RGS1","decreased","Diabetes Mellitis",2.693,4.943,-2.25,0.381,0.663,1.74,5.292,3.042,7.985,3.868859535,4.383082752,4.982576852,4.495764638,5.231776225,5.935359525,4.263050366,6.77808848,5.584042184,3.212672835,7.900453181,5.322412978,8.020436309,6.104776722,6.105066894,6.542456456,3.509227588,7.546324808,4.671411255,4.652172711,2.012436927,3.356967007,3.170508835,2.134593951,3.350319706,3.264534831,2.973400595,7.821770573,6.799525076,8.567215537,7.969303752,7.820464132,7.522326565,8.404501316,7.833266755,9.128226988
"ADAMDEC1","increased","Diabetes Mellitis",-2.236,1.511,-3.747,0.346,1.968,5.69,4.546,0.799,2.31,3.986626744,5.560727816,3.197097342,4.863434937,4.883616074,3.856091811,4.603667768,5.840663217,5.376969294,3.509227588,3.600766498,2.032767645,6.160632696,7.051040667,5.368031113,5.812513449,0.40256316,6.23860966,4.974651751,4.13182593,4.017255252,0.538265459,1.989117181,0.421760249,0.426559521,0.397763887,1.021751519,1.406277477,2.447212526,1.266313173,3.040142366,0.436158066,3.091121373,5.610871796,1.122646648,2.365146714
