"lemmatized_summary","gene","kidneyDiseaseTable","geneFunction","Differential_Expression","Fold_Change","renal_Means","healthy_Means","renal_0","renal_3","renal_6","renal_9","X5_AK125p1_Adh.count","X6_AK125p1_SPH3d.count","X7_AK125p1_SPH6d.count","X8_AK125p1_SPH9d.count","AK82p2Adh","AK82p3SPH3d","AK82p3SPH6d","AK82p3SPH10d","AK86p1Adh","AK86p2.SPH3d","AK86p2.SPH6d","AK86p2.SPH10d"
"This gene encode a member of a family of secrete protein that function in angiogenesis. The encode protein, which be express predominantly in the live, be far process into a N - terminal coil - coil domain - contain chain and a C - terminal fibrinogen chain. The N - terminal chain be important for lipid metabolism, while the C - terminal chain may be involve in angiogenesis. mutation in this gene cause familial hypobetalipoproteinemia type 2.","ANGPTL3","UpRegulatedTop20","This gene encodes a member of a family of secreted proteins that function in angiogenesis. The encoded protein, which is expressed predominantly in the liver, is further processed into an N-terminal coiled-coil domain-containing chain and a C-terminal fibrinogen chain. The N-terminal chain is important for lipid metabolism, while the C-terminal chain may be involved in angiogenesis. Mutations in this gene cause familial hypobetalipoproteinemia type 2.",-14,1.933,29,15,0,25,64,27,0,27,47,47,3,7,10,22,3,9,3,2
"Carbonic anhydrase ( CAs ) be a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide. They participate in a variety of biological process, include respiration, calcification, acid - base balance, bone resorption, and the formation of aqueous humor, cerebrospinal fluid, saliva, and gastric acid. They show extensive diversity in tissue distribution and in their subcellular localization. CA IX be a transmembrane protein and be one of only two tumor - associate carbonic anhydrase isoenzyme know. It be express in all clear - cell renal cell carcinoma, but be not detect in normal kidney or much other normal tissue. It may be involve in cell proliferation and transformation. This gene be map to 17q21. 2 by fluorescence in situ hybridization, however, radiation hybrid map localize it to 9p13 - p12.","CA9","UpRegulatedTop20","Carbonic anhydrases (CAs) are a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide. They participate in a variety of biological processes, including respiration, calcification, acid-base balance, bone resorption, and the formation of aqueous humor, cerebrospinal fluid, saliva, and gastric acid. They show extensive diversity in tissue distribution and in their subcellular localization. CA IX is a transmembrane protein and is one of only two tumor-associated carbonic anhydrase isoenzymes known. It is expressed in all clear-cell renal cell carcinoma, but is not detected in normal kidney or most other normal tissues. It may be involved in cell proliferation and transformation. This gene was mapped to 17q21.2 by fluorescence in situ hybridization, however, radiation hybrid mapping localized it to 9p13-p12.",-21,1.385,75.5,54.5,191,24,37,50,118,15,20,34,154,12,12,25,177,27,35,25
"The protein encode by this gene be a calcium - independent cell - cell adhesion protein that can form homodimers or heterodimer with other nectin protein. The encode protein have both homophilic and heterophilic cell - cell adhesion activity. This gene be report to be a tumor suppressor gene.","CADM3","UpRegulatedTop20","The protein encoded by this gene is a calcium-independent cell-cell adhesion protein that can form homodimers or heterodimers with other nectin proteins. The encoded protein has both homophilic and heterophilic cell-cell adhesion activity. This gene is reported to be a tumor suppressor gene. ",-10,1.386,35,25.25,17,22,43,58,22,27,56,74,4,5,15,55,11,3,17,14
"This gene be imprint, with preferential expression of the maternal allele. The encode protein be a tight - bind, strong inhibitor of several G1 cyclin / Cdk complex and a negative regulator of cell proliferation. mutation in this gene be implicate in sporadic cancer and Beckwith - Wiedemann syndorome, suggest that this gene be a tumor suppressor candidate. Three transcript variant encode two different isoform have be find for this gene.","CDKN1C","UpRegulatedTop20","This gene is imprinted, with preferential expression of the maternal allele. The encoded protein is a tight-binding, strong inhibitor of several G1 cyclin/Cdk complexes and a negative regulator of cell proliferation. Mutations in this gene are implicated in sporadic cancers and Beckwith-Wiedemann syndorome, suggesting that this gene is a tumor suppressor candidate. Three transcript variants encoding two different isoforms have been found for this gene.",-66,1.117,631,564.917,1034,493,517,480,934,604,704,583,170,483,483,376,427,890,928,197
"The protein encode by this intronless gene be a bZIP transcription factor which can bind as a homodimer to certain DNA regulatory region. It can also form heterodimer with the relate protein CEBP - alpha. The encode protein be important in the regulation of gene involve in immune and inflammatory response, and may be involve in the regulation of gene associate with activation and / or differentiation of macrophage. The cytogenetic location of this locus have be report as both 8p11 and 8q11.","CEBPD","UpRegulatedTop20","The protein encoded by this intronless gene is a bZIP transcription factor which can bind as a homodimer to certain DNA regulatory regions. It can also form heterodimers with the related protein CEBP-alpha. The encoded protein is important in the regulation of genes involved in immune and inflammatory responses, and may be involved in the regulation of genes associated with activation and/or differentiation of macrophages. The cytogenetic location of this locus has been reported as both 8p11 and 8q11. ",-33,1.031,1101,1067.75,2333,616,721,734,4205,1926,1957,1832,301,255,344,264,588,476,435,230
"This gene be a member of the Regulator of Complement Activation ( RCA ) gene cluster and encode a protein with twenty short consensus repeat ( SCR ) domain. This protein be secrete into the bloodstream and have a essential role in the regulation of complement activation, restrict this innate defense mechanism to microbial infection. mutation in this gene have be associate with hemolytic - uremic syndrome ( HUS ) and chronic hypocomplementemic nephropathy. Alternate transcriptional splice variant, encode different isoform, have be characterize.","CFH","UpRegulatedTop20","This gene is a member of the Regulator of Complement Activation (RCA) gene cluster and encodes a protein with twenty short consensus repeat (SCR) domains. This protein is secreted into the bloodstream and has an essential role in the regulation of complement activation, restricting this innate defense mechanism to microbial infections. Mutations in this gene have been associated with hemolytic-uremic syndrome (HUS) and chronic hypocomplementemic nephropathy. Alternate transcriptional splice variants, encoding different isoforms, have been characterized. ",-6,1.028,227.5,221.333,202,178,265,265,241,139,220,194,604,230,145,132,322,131,185,113
"This gene product belong to the claudin protein family whose member have be identify as major integral membrane protein localize exclusively at tight junction. Claudins be express in a organ - specific manner and regulate tissue - specific physiologic property of tight junction. This protein be express in the intestine. Alternatively splice transcript variant with different 5' untranslated region have be find for this gene.","CLDN2","UpRegulatedTop20","This gene product belongs to the claudin protein family whose members have been identified as major integral membrane proteins localized exclusively at tight junctions. Claudins are expressed in an organ-specific manner and regulate tissue-specific physiologic properties of tight junctions. This protein is expressed in the intestine. Alternatively spliced transcript variants with different 5' untranslated region have been found for this gene.",-428,1.264,2052.25,1624.167,695,1922,2640,2952,740,2256,2530,2901,880,876,1553,2970,706,1420,2156,502
"Metabolic N - oxidation of the diet - derive amino - trimethylamine ( TMA ) be mediate by flavin - contain monooxygenase and be subject to a inherit FMO3 polymorphism in man result in a small subpopulation with reduce TMA N - oxidation capacity result in fish odor syndrome Trimethylaminuria. Three form of the enzyme, FMO1 find in fetal live, FMO2 find in adult live, and FMO3 be encode by gene cluster in the 1q23 - q25 region. Flavin - contain monooxygenases be NADPH - dependent flavoenzymes that catalyze the oxidation of soft nucleophilic heteroatom center in drug, pesticide, and xenobiotics. Several transcript variant encode different isoform have be find for this gene","FMO1","UpRegulatedTop20","Metabolic N-oxidation of the diet-derived amino-trimethylamine (TMA) is mediated by flavin-containing monooxygenase and is subject to an inherited FMO3 polymorphism in man resulting in a small subpopulation with reduced TMA N-oxidation capacity resulting in fish odor syndrome Trimethylaminuria. Three forms of the enzyme, FMO1 found in fetal liver, FMO2 found in adult liver, and FMO3 are encoded by genes clustered in the 1q23-q25 region. Flavin-containing monooxygenases are NADPH-dependent flavoenzymes that catalyzes the oxidation of soft nucleophilic heteroatom centers in drugs, pesticides, and xenobiotics. Several transcript variants encoding different isoforms have been found for this gene",-8,1.442,24.75,17.167,3,5,36,55,0,9,16,26,0,10,10,96,0,7,9,23
"The protein encode by this gene be involve in the acute - phase immunologic response to gram - negative bacterial infection. Gram - negative bacterium contain a glycolipid, lipopolysaccharide ( lp ), on their outer cell wall. Together with bactericidal permeability - increase protein ( BPI ), the encode protein bind lp and interact with the CD14 receptor, probably play a role in regulate lp - dependent monocyte response. study in mouse suggest that the encode protein be necessary for the rapid acute - phase response to lp but not for the clearance of lp from circulation. This protein be part of a family of structurally and functionally relate protein, include BPI, plasma cholesteryl ester transfer protein ( CETP ), and phospholipid transfer protein ( PLTP ).","LBP","UpRegulatedTop20","The protein encoded by this gene is involved in the acute-phase immunologic response to gram-negative bacterial infections. Gram-negative bacteria contain a glycolipid, lipopolysaccharide (LPS), on their outer cell wall. Together with bactericidal permeability-increasing protein (BPI), the encoded protein binds LPS and interacts with the CD14 receptor, probably playing a role in regulating LPS-dependent monocyte responses. Studies in mice suggest that the encoded protein is necessary for the rapid acute-phase response to LPS but not for the clearance of LPS from circulation. This protein is part of a family of structurally and functionally related proteins, including BPI, plasma cholesteryl ester transfer protein (CETP), and phospholipid transfer protein (PLTP). ",-30,2.521,50,19.833,101,30,39,30,3,5,4,16,0,0,3,10,61,33,101,2
"This gene, isolate use the differential display method to detect tissue - specific gene, be specifically express in kidney and live. The encode protein show amino acid sequence similarity to N - acetyltransferases. A similar protein in Xenopus affect cell adhesion and gastrulation movement, and may be localize in the secretory pathway. A highly similar paralog be find in a cluster with this gene.","NAT8","UpRegulatedTop20","This gene, isolated using the differential display method to detect tissue-specific genes, is specifically expressed in kidney and liver. The encoded protein shows amino acid sequence similarity to N-acetyltransferases. A similar protein in Xenopus affects cell adhesion and gastrulation movements, and may be localized in the secretory pathway. A highly similar paralog is found in a cluster with this gene. ",-16,2.169,30,13.833,0,13,42,65,3,22,34,70,0,4,7,15,0,3,3,5
