,1_AK124p1_Adh.count,2_AK124p1_SPH3d.count,3_AK124p1_SPH6d.count,4_AK124p1_SPH9d.count,5_AK125p1_Adh.count,6_AK125p1_SPH3d.count,7_AK125p1_SPH6d.count,8_AK125p1_SPH9d.count,AK82p2Adh,AK82p3SPH3d,AK82p3SPH6d,AK82p3SPH10d,AK86p1Adh,AK86p2-SPH3d,AK86p2-SPH6d,AK86p2-SPH10d
A1BG,16,8,3,4,26,15,18,17,16,9,9,11,36,25,18,15
A1BG-AS1,2,2,1,2,0,5,5,2,8,12,4,8,9,10,10,5
A1CF,1,0,2,1,0,2,1,2,12,11,9,8,20,8,6,7
A2M,4,1,4,5,3,14,31,33,2,68,126,103,2,52,142,119
A2M-AS1,5,9,4,5,14,12,20,17,31,45,26,25,24,18,30,20
A2ML1,0,0,2,0,0,3,0,1,6,3,2,11,1,2,6,6
A2MP1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0,2,2,2,1,3,2,2,2
A4GALT,536,436,378,352,1031,1393,1365,1126,939,1043,982,1123,626,1334,1493,909
A4GNT,0,1,1,0,2,6,3,3,2,1,2,1,3,1,2,7
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,317,266,200,201,571,693,688,566,1333,1007,989,933,833,897,807,898
AACS,220,145,172,160,381,433,593,487,1206,1247,1776,1647,731,1151,1422,1527
AACSP1,0,0,0,0,0,0,1,1,2,0,4,1,16,11,10,2
AADAC,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,1,1,1,0,0,2,1,1,1,3,0
AADACL3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
AADAT,34,55,42,57,50,92,90,68,166,228,281,251,103,257,262,197
AAED1,53,45,41,25,152,121,120,114,350,329,311,220,213,329,294,199
AAGAB,212,238,235,194,487,660,756,622,1557,1786,2231,2015,682,2046,2096,1837
AAK1,222,241,257,234,463,646,736,657,1570,2150,2653,2757,1216,1897,2322,2584
AAMDC,33,24,22,33,37,49,70,57,283,160,205,211,210,141,179,189
AAMP,405,414,386,356,906,1324,1250,1084,2574,2499,2705,2551,1594,2947,2847,2559
AANAT,1,1,0,0,0,3,0,2,4,3,3,4,12,3,1,4
AAR2,197,170,137,148,481,513,542,424,816,812,1031,935,571,919,1067,838
AARD,0,1,1,2,4,0,6,3,17,9,10,9,14,7,3,10
AARS,1347,656,540,490,4044,1877,2041,1534,4637,4082,5147,4425,3856,3740,4863,4182
AARS2,113,119,103,75,245,403,348,248,662,568,675,681,453,610,673,654
AARSD1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1
AASDH,54,56,57,51,120,168,144,142,332,322,455,458,311,378,487,407
AASDHPPT,216,249,193,214,489,603,655,553,1242,1353,1757,1485,664,1322,1485,1243
AASS,73,51,50,42,134,116,182,151,558,510,663,553,741,470,630,541
AATF,323,217,246,231,704,736,720,614,1868,1250,1308,1334,913,1234,1238,1384
AATK,6,4,4,3,14,6,9,10,3,8,6,15,9,11,12,2
AATK-AS1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
ABAT,14,35,38,30,34,88,131,97,79,156,271,321,87,144,216,210
ABCA1,525,425,453,406,955,1059,1203,752,2188,2256,1967,830,1646,4852,2710,907
ABCA10,1,5,3,2,1,5,5,2,20,42,55,52,17,30,38,21
ABCA11P,12,11,9,10,31,50,43,48,89,120,135,123,83,131,155,150
ABCA12,13,85,74,68,41,235,243,225,88,372,620,716,40,550,680,939
ABCA13,5,31,29,32,9,23,34,20,37,77,102,123,38,156,251,238
ABCA17P,0,0,0,0,1,0,5,1,5,2,8,2,4,5,0,0
ABCA2,384,477,451,466,664,1281,1369,1044,694,1958,1729,2003,984,2781,2445,1701
ABCA3,523,382,397,448,1270,1187,1284,1200,1715,2158,2363,2734,979,2185,2298,1671
ABCA4,6,15,12,16,10,46,40,36,12,60,66,63,47,100,127,84
ABCA5,15,25,19,34,50,68,96,84,169,353,463,415,215,303,382,338
ABCA6,0,3,8,2,0,8,12,24,0,18,16,32,6,41,48,16
ABCA7,89,169,154,154,139,435,497,471,246,384,457,695,254,767,747,1014
ABCA8,0,0,1,0,0,0,0,2,5,2,2,4,3,5,3,2
ABCA9,2,2,2,5,5,11,14,6,39,31,29,38,27,35,38,41
ABCB1,52,77,93,107,126,212,301,301,335,373,688,849,208,374,652,359
ABCB10,57,55,52,57,114,151,163,151,624,655,698,542,268,583,594,516
ABCB11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ABCB4,35,56,28,27,61,84,61,38,111,132,151,93,218,404,274,66
ABCB5,3,3,4,6,8,11,11,9,27,32,50,41,42,29,27,32
ABCB6,91,94,82,76,132,282,254,167,272,482,451,428,256,603,611,370
ABCB7,154,109,92,64,321,270,236,200,536,573,552,501,374,627,534,437
ABCB8,167,168,181,198,357,562,626,570,1031,781,853,1023,500,814,898,861
ABCB9,39,45,32,34,79,80,90,82,130,116,125,150,72,143,178,181
ABCC1,512,325,313,291,1100,998,1028,1003,2070,1917,2210,2354,1031,2029,2098,2613
ABCC10,86,150,118,125,219,425,424,335,461,628,769,886,321,706,722,910
ABCC11,0,0,0,1,0,0,3,4,1,3,1,1,0,4,4,1
ABCC12,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0
ABCC13,0,1,0,0,0,1,0,0,2,1,1,0,1,0,1,0
ABCC2,38,52,70,75,125,180,352,273,269,252,281,397,410,339,227,74
ABCC3,3243,1253,1282,1119,5564,3213,3218,2493,3633,7110,5410,5365,9028,8710,6016,4243
ABCC4,950,796,943,932,2047,2652,3180,2957,2530,5433,6161,6279,1507,6092,5370,5045
ABCC5,277,301,313,295,631,938,1116,1101,1415,2086,3035,3874,1611,2037,2746,3192
ABCC5-AS1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1
ABCC6,14,33,35,39,36,55,79,82,70,207,207,249,102,179,122,72
ABCC6P1,10,13,8,8,18,20,21,14,11,17,37,35,12,10,4,8
ABCC6P2,2,1,3,3,10,9,6,7,6,17,13,23,11,21,13,9
ABCC8,0,0,0,1,0,1,2,2,0,0,0,0,3,4,2,1
ABCC9,38,42,54,36,113,126,131,119,528,521,612,632,717,506,569,562
ABCD1,168,152,159,159,349,461,511,422,229,320,322,313,181,454,387,288
ABCD2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
ABCD3,210,252,285,212,442,684,693,597,1470,1614,1931,1885,781,1669,1771,1502
ABCD4,210,170,204,198,531,583,596,521,949,1131,1271,1316,985,1318,1469,1322
