"","Fold_Change_Early_Control","Fold_Change_Advanced_Control","Fold_Change_Advanced_Early","Advanced_DM_Means","Early_DM_Means","Control_noDM_Means","A11A","A12A","A13A","A14A","A15A","A17A","A18A","A19A","A20A","A21A","A22A","A23A","A24A","A25A","A26A","A28A","A29A","A30A","A31A","A32A","A33A","B3B","B4B","B5B","B6B","B8B","B9B","N2A","N3A","N5B","N6B","N7B","N8B","N10B","N12B","N13B"
"CIDEC",4.836,4.38,0.906,3.684,4.067,0.841,6.196266326,8.2084935,5.997889512,5.41360429,0.397763887,2.158248653,4.676090506,0.399363645,1.369917564,0.538265459,1.365201229,1.365201229,1.397102989,6.99364772,0.581817451,0.671126785,1.976491825,4.121132781,6.600294863,7.489518992,9.442896621,0.538265459,6.100210495,2.69459396,0.426559521,7.220254847,7.419944487,0.404162917,1.191490883,1.266313173,2.158248653,0.436158066,0.442557096,0.485446671,0.434558309,0.746672846
"ADIPOQ",4.582,4.166,0.909,4.074,4.481,0.978,7.213216635,10.79368286,6.333748712,7.712522979,0.876175611,0.397763887,5.154120018,0.645282934,0.539065338,0.397763887,0.397763887,3.244968183,3.899470158,8.243249139,0.399363645,0.397763887,0.876175611,3.922736281,6.455941153,7.824123106,9.834696604,0.538265459,6.912037359,1.090079389,1.387928501,8.271156146,8.687331532,0.404162917,1.191490883,1.266313173,0.404162917,1.654634553,1.616081744,0.397763887,1.122646648,0.746672846
"STMN2",1.25,3.985,3.188,3.427,1.075,0.86,5.105318298,2.654638801,3.376495105,2.708146745,4.271576041,5.421338247,3.685518103,4.373161856,5.155943439,0.397763887,3.282401135,1.762438914,5.264840658,4.187430557,5.61485414,6.451753976,0.876175611,2.992002333,0.399363645,1.976491825,2.012436927,1.365201229,0.849531882,0.421760249,1.387928501,1.939208231,0.485446671,0.788927876,0.419360613,1.266313173,1.04900997,1.654634553,0.442557096,1.283524232,0.434558309,0.40256316
"COL6A5",1.204,3.144,2.611,6.002,2.299,1.909,4.990298796,6.524495849,4.611453344,4.154835286,5.919503061,7.105350399,5.997889512,8.381987137,8.07354607,4.740758791,5.370816482,4.18413245,6.848806873,7.86987581,7.88185322,7.155093959,1.976491825,5.103922831,7.599067895,5.197445352,6.34809127,2.306343042,1.989117181,2.134593951,1.387928501,3.0005806,2.973400595,1.998084263,2.447212526,3.301384602,2.669862696,0.436158066,0.442557096,0.397763887,2.654638801,2.829306484
"CLEC4C",0.917,3.002,3.273,4.755,1.453,1.584,4.428714542,4.729598477,2.662250748,4.243738635,5.477232986,4.674959418,5.942183178,8.757712845,6.982849207,1.397102989,4.542370466,3.244968183,7.115649869,7.176989067,6.600294863,6.379111209,2.524310649,4.988814885,1.365201229,1.591368981,5.036668488,1.966855497,1.989117181,1.090079389,0.426559521,2.760054933,0.485446671,1.998084263,1.191490883,2.947955558,0.404162917,2.708146745,0.442557096,2.69459396,1.122646648,0.746672846
"PLA2G2A",1.309,2.944,2.249,3.96,1.761,1.345,7.693245552,3.301384602,2.662250748,5.279059549,5.009018189,7.97750786,5.642131591,0.399363645,5.257490696,6.608272441,3.785704203,4.304695744,5.218020459,0.849531882,0.581817451,1.283524232,0.876175611,2.760054933,5.604656918,1.157068766,6.918069037,0.397763887,3.170508835,4.670280168,1.387928501,0.538265459,0.399363645,0.788927876,1.191490883,1.266313173,1.04900997,1.654634553,0.442557096,0.397763887,3.612535778,1.705805889
"KCNQ2",0.836,2.743,3.282,2.189,0.667,0.798,1.705805889,1.055657271,0.945074371,1.042362669,1.397102989,0.397763887,5.678335891,0.399363645,2.253845551,2.283226954,3.282401135,0.399363645,1.397102989,2.078368242,5.104620564,1.283524232,1.976491825,3.788994051,6.953746649,0.538265459,2.012436927,1.365201229,0.849531882,0.421760249,0.426559521,0.538265459,0.399363645,0.404162917,0.419360613,0.404162917,1.04900997,1.654634553,0.442557096,1.283524232,1.122646648,0.40256316
"GREM1",2.107,2.732,1.297,6.073,4.684,2.223,7.084098768,5.314215924,3.809963495,7.071858518,6.404712899,6.436501688,4.743703943,5.840663217,7.06982917,5.152296597,5.569226609,6.257955429,6.848806873,7.76828278,6.328865961,7.424898285,6.449496647,7.905596549,2.436186927,4.351313741,7.257830981,6.547477864,3.170508835,5.197860419,3.978226805,5.221966142,3.986626744,1.406277477,2.447212526,4.003707171,2.158248653,0.436158066,0.442557096,2.97937865,0.434558309,5.697619513
"PTCRA",0.926,2.487,2.686,2.925,1.089,1.176,0.966201886,2.487612698,0.399363645,3.197097342,1.740769703,4.304695744,6.513144911,6.8388528,4.177777078,2.283226954,1.365201229,1.762438914,4.540300984,4.670280168,3.515999217,2.880966757,2.524310649,0.923946856,1.365201229,2.960678077,2.012436927,0.538265459,0.403363038,0.421760249,1.387928501,2.760054933,1.021751519,2.669862696,0.419360613,1.266313173,0.404162917,0.436158066,2.58224178,1.283524232,1.122646648,0.40256316
"TUSC5",2.711,2.463,0.908,4.269,4.699,1.733,2.769487603,9.794022494,7.266864208,6.908216895,1.740769703,0.397763887,7.005709846,1.566656218,1.911560965,0.660563027,0.397763887,3.522134156,3.264534831,8.440022737,1.8756988,1.635358149,3.969236233,3.788994051,5.916543851,8.176071059,8.63127617,1.966855497,6.248470245,3.873361564,0.426559521,7.822849212,7.855322065,0.404162917,3.929564839,3.799929183,0.404162917,0.436158066,0.442557096,2.69459396,3.081863027,0.40256316
