"","Fold_Change_Early_Control","Fold_Change_Advanced_Control","Fold_Change_Advanced_Early","Advanced_DM_Means","Early_DM_Means","Control_noDM_Means","A11A","A12A","A13A","A14A","A15A","A17A","A18A","A19A","A20A","A21A","A22A","A23A","A24A","A25A","A26A","A28A","A29A","A30A","A31A","A32A","A33A","B3B","B4B","B5B","B6B","B8B","B9B","N2A","N3A","N5B","N6B","N7B","N8B","N10B","N12B","N13B"
"ADAMDEC1",0.346,1.968,5.69,4.546,0.799,2.31,3.986626744,5.560727816,3.197097342,4.863434937,4.883616074,3.856091811,4.603667768,5.840663217,5.376969294,3.509227588,3.600766498,2.032767645,6.160632696,7.051040667,5.368031113,5.812513449,0.40256316,6.23860966,4.974651751,4.13182593,4.017255252,0.538265459,1.989117181,0.421760249,0.426559521,0.397763887,1.021751519,1.406277477,2.447212526,1.266313173,3.040142366,0.436158066,3.091121373,5.610871796,1.122646648,2.365146714
"CLC",0.424,2.276,5.362,3.464,0.646,1.522,2.769487603,2.892380915,0.399363645,0.397763887,3.17860443,6.267078787,6.719081162,7.192661237,7.257830981,2.72867262,1.966855497,0.619439084,1.8756988,5.412558884,4.852808619,4.149542017,0.40256316,5.284455867,2.764771268,1.591368981,4.017255252,0.397763887,0.403363038,1.090079389,0.426559521,0.538265459,1.021751519,0.788927876,2.447212526,1.266313173,1.04900997,1.654634553,0.442557096,0.485446671,2.012436927,3.554440151
"CXCL13",0.405,1.789,4.422,3.449,0.78,1.928,5.98105619,3.633229056,1.740769703,2.840255054,6.740524391,2.158248653,3.685518103,3.992474167,1.369917564,5.152296597,0.397763887,0.619439084,7.465422793,2.592178929,0.581817451,4.560836361,0.876175611,8.878709687,4.190317439,2.960678077,2.012436927,0.397763887,0.403363038,0.421760249,1.387928501,1.04900997,1.021751519,0.404162917,2.447212526,0.404162917,1.04900997,2.708146745,0.442557096,5.215603801,1.122646648,3.554440151
"RETN",0.43,1.549,3.601,2.668,0.741,1.722,0.397763887,0.435358187,1.397102989,0.538265459,4.607630743,7.350341069,5.839359387,5.16697484,1.911560965,0.436158066,0.485446671,0.399363645,1.397102989,4.617246683,5.925599318,0.671126785,0.876175611,3.922736281,2.764771268,0.538265459,6.34809127,0.538265459,0.403363038,1.090079389,1.387928501,0.538265459,0.485446671,0.788927876,3.421145623,1.266313173,3.040142366,3.292087985,0.442557096,0.485446671,2.012436927,0.746672846
"KCNQ2",0.836,2.743,3.282,2.189,0.667,0.798,1.705805889,1.055657271,0.945074371,1.042362669,1.397102989,0.397763887,5.678335891,0.399363645,2.253845551,2.283226954,3.282401135,0.399363645,1.397102989,2.078368242,5.104620564,1.283524232,1.976491825,3.788994051,6.953746649,0.538265459,2.012436927,1.365201229,0.849531882,0.421760249,0.426559521,0.538265459,0.399363645,0.404162917,0.419360613,0.404162917,1.04900997,1.654634553,0.442557096,1.283524232,1.122646648,0.40256316
"CLEC4C",0.917,3.002,3.273,4.755,1.453,1.584,4.428714542,4.729598477,2.662250748,4.243738635,5.477232986,4.674959418,5.942183178,8.757712845,6.982849207,1.397102989,4.542370466,3.244968183,7.115649869,7.176989067,6.600294863,6.379111209,2.524310649,4.988814885,1.365201229,1.591368981,5.036668488,1.966855497,1.989117181,1.090079389,0.426559521,2.760054933,0.485446671,1.998084263,1.191490883,2.947955558,0.404162917,2.708146745,0.442557096,2.69459396,1.122646648,0.746672846
"STMN2",1.25,3.985,3.188,3.427,1.075,0.86,5.105318298,2.654638801,3.376495105,2.708146745,4.271576041,5.421338247,3.685518103,4.373161856,5.155943439,0.397763887,3.282401135,1.762438914,5.264840658,4.187430557,5.61485414,6.451753976,0.876175611,2.992002333,0.399363645,1.976491825,2.012436927,1.365201229,0.849531882,0.421760249,1.387928501,1.939208231,0.485446671,0.788927876,0.419360613,1.266313173,1.04900997,1.654634553,0.442557096,1.283524232,0.434558309,0.40256316
"TNFRSF13B",0.602,1.914,3.181,5.115,1.608,2.672,5.862684007,3.905567504,3.922736281,6.237591935,5.633877434,3.856091811,5.458283212,6.976706114,4.985297707,2.533743319,5.569226609,4.449290221,7.345152681,5.728357638,5.61485414,5.915013049,3.969236233,7.054656522,3.785704203,5.151359527,3.460312945,2.637020426,0.403363038,2.69459396,0.426559521,2.462954459,1.021751519,2.669862696,2.447212526,5.983387752,2.158248653,0.436158066,0.442557096,2.376768533,2.654638801,4.877217949
"TCL1A",0.585,1.711,2.924,5.538,1.894,3.237,5.453923613,5.36273747,2.436186927,5.909301164,6.532490157,5.421338247,5.778905114,9.27306135,6.52583637,0.660563027,4.442334235,6.04323356,8.218267369,7.76828278,6.529456702,5.154120018,3.74256284,8.264120727,5.191675796,1.976491825,5.609946628,1.966855497,0.403363038,0.421760249,3.350319706,2.760054933,2.462954459,2.669862696,3.0005806,4.185781504,1.04900997,3.292087985,3.425129685,4.09245356,3.864357507,3.554440151
"PI3",0.382,1.058,2.767,2.41,0.871,2.278,0.966201886,1.3812812,2.976389622,1.042362669,2.976389622,3.491091337,5.778905114,2.429539626,2.253845551,2.97937865,0.923946856,0.619439084,1.397102989,1.868382253,3.418956474,2.203314383,0.40256316,1.365201229,4.447918473,2.960678077,4.730835927,1.365201229,1.989117181,0.421760249,0.426559521,0.538265459,0.485446671,0.404162917,3.421145623,1.266313173,2.669862696,0.436158066,2.58224178,7.580012825,0.434558309,1.705805889
"ZPLD1",0.595,1.628,2.737,3.955,1.445,2.429,3.310221052,3.633229056,3.376495105,1.3812812,2.769487603,4.367899822,4.501503704,3.06042398,3.816447167,7.587233213,4.48976125,3.244968183,4.408191132,2.769487603,6.129017773,3.460312945,3.74256284,2.992002333,8.721362676,3.282401135,2.012436927,1.365201229,0.403363038,2.134593951,3.350319706,0.397763887,1.021751519,0.788927876,3.696397876,1.266313173,3.672920967,3.844756625,3.091121373,4.662966385,0.434558309,0.40256316
"CTLA4",0.481,1.304,2.709,5.51,2.034,4.227,5.713654378,5.151359527,4.542370466,5.093924519,6.34809127,6.157385979,5.997889512,6.144951305,5.333809569,3.864357507,5.701407153,4.936463393,7.155740294,5.82764932,5.983387752,6.691473651,3.261214595,7.512053972,3.876254437,4.231529702,6.176063649,0.538265459,0.849531882,0.421760249,2.97937865,3.597108224,3.816447167,2.983332323,3.421145623,4.904415591,4.346836863,5.062515722,3.091121373,5.056198999,3.612535778,5.566564234
"PTCRA",0.926,2.487,2.686,2.925,1.089,1.176,0.966201886,2.487612698,0.399363645,3.197097342,1.740769703,4.304695744,6.513144911,6.8388528,4.177777078,2.283226954,1.365201229,1.762438914,4.540300984,4.670280168,3.515999217,2.880966757,2.524310649,0.923946856,1.365201229,2.960678077,2.012436927,0.538265459,0.403363038,0.421760249,1.387928501,2.760054933,1.021751519,2.669862696,0.419360613,1.266313173,0.404162917,0.436158066,2.58224178,1.283524232,1.122646648,0.40256316
"COL6A5",1.204,3.144,2.611,6.002,2.299,1.909,4.990298796,6.524495849,4.611453344,4.154835286,5.919503061,7.105350399,5.997889512,8.381987137,8.07354607,4.740758791,5.370816482,4.18413245,6.848806873,7.86987581,7.88185322,7.155093959,1.976491825,5.103922831,7.599067895,5.197445352,6.34809127,2.306343042,1.989117181,2.134593951,1.387928501,3.0005806,2.973400595,1.998084263,2.447212526,3.301384602,2.669862696,0.436158066,0.442557096,0.397763887,2.654638801,2.829306484
"CSNK2B",0.52,1.335,2.568,4.324,1.684,3.238,0.397763887,7.313045945,0.517137944,0.397763887,6.212314689,0.451355762,6.552234516,7.34121644,7.153296236,7.41517509,6.20094042,5.763908073,6.104776722,0.445756611,7.361599688,6.451753976,0.876175611,0.451355762,0.607275569,5.653703683,7.129529884,0.538265459,0.849531882,1.090079389,0.426559521,0.538265459,6.660444426,6.731137446,1.191490883,1.266313173,7.570468979,8.499075382,1.616081744,0.397763887,1.122646648,0.746672846
"LINC01215",0.653,1.675,2.564,5.236,2.042,3.126,6.270311024,5.2029652,3.809963495,5.770303278,6.265279196,4.523155754,5.577430065,6.214903008,5.49939134,3.509227588,4.351313741,4.763946886,6.652723247,6.392371463,5.447635817,5.812513449,1.976491825,7.379651014,5.568080456,4.231529702,4.730835927,2.306343042,0.403363038,2.69459396,2.487612698,1.387928501,2.973400595,1.406277477,3.929564839,2.947955558,2.669862696,3.612535778,2.58224178,3.767382294,3.081863027,4.136159755
"GPR15",0.436,1.103,2.532,3.525,1.392,3.195,3.310221052,4.992126462,1.397102989,7.561968168,3.331364954,2.769487603,3.980957649,5.217230336,1.911560965,1.090079389,3.785704203,2.032767645,3.899470158,3.689148801,3.666370962,7.855036226,1.976491825,6.701168893,2.436186927,0.397763887,2.012436927,4.757084109,0.849531882,0.421760249,1.387928501,0.538265459,0.399363645,4.857742667,4.13182593,4.003707171,4.087124805,1.654634553,1.616081744,4.416166294,0.434558309,3.554440151
"LINC01924",0.666,1.648,2.474,3.226,1.304,1.958,2.97937865,2.487612698,0.945074371,2.055567944,2.447212526,2.769487603,5.101109053,4.213134902,3.264534831,5.791916165,3.282401135,2.032767645,4.408191132,3.409916366,4.852808619,3.350319706,0.876175611,2.992002333,6.25259629,2.230442202,2.012436927,0.538265459,0.849531882,1.090079389,3.785704203,0.538265459,1.021751519,0.404162917,3.421145623,3.301384602,2.158248653,3.292087985,0.442557096,3.767382294,0.434558309,0.40256316
"GSTM1",0.504,1.231,2.443,6.693,2.74,5.438,0.538265459,9.3391238,9.592220489,10.32221792,10.13038453,9.854313627,8.778940923,9.221480925,0.539065338,9.238073375,0.397763887,9.4996315,0.397763887,2.078368242,0.581817451,9.080126113,9.480288257,10.65310039,2.436186927,9.10536399,9.280144709,0.538265459,0.403363038,3.135256584,2.487612698,9.390722811,0.485446671,8.978611181,1.191490883,9.222544406,8.798495959,9.166980652,9.460636075,1.283524232,0.434558309,0.40256316
"PLA2G2D",0.563,1.374,2.441,5.553,2.275,4.042,5.569897532,5.098992931,4.472279321,6.759605362,6.915085066,5.160938999,5.305720231,6.092767753,5.02616628,4.149542017,4.918971843,4.18413245,8.080878936,6.468817679,6.129017773,7.070096833,3.969236233,8.012156998,1.911560965,6.025026039,5.284905053,2.637020426,1.989117181,2.69459396,4.147195984,0.397763887,1.78696652,3.969236233,3.0005806,7.20116429,2.669862696,4.160128555,3.091121373,4.662966385,2.654638801,4.964653917
