"","Fold_Change_Early_Control","Fold_Change_Advanced_Control","Fold_Change_Advanced_Early","Advanced_DM_Means","Early_DM_Means","Control_noDM_Means","A11A","A12A","A13A","A14A","A15A","A17A","A18A","A19A","A20A","A21A","A22A","A23A","A24A","A25A","A26A","A28A","A29A","A30A","A31A","A32A","A33A","B3B","B4B","B5B","B6B","B8B","B9B","N2A","N3A","N5B","N6B","N7B","N8B","N10B","N12B","N13B"
"CIDEC",4.836,4.38,0.906,3.684,4.067,0.841,6.196266326,8.2084935,5.997889512,5.41360429,0.397763887,2.158248653,4.676090506,0.399363645,1.369917564,0.538265459,1.365201229,1.365201229,1.397102989,6.99364772,0.581817451,0.671126785,1.976491825,4.121132781,6.600294863,7.489518992,9.442896621,0.538265459,6.100210495,2.69459396,0.426559521,7.220254847,7.419944487,0.404162917,1.191490883,1.266313173,2.158248653,0.436158066,0.442557096,0.485446671,0.434558309,0.746672846
"ADIPOQ",4.582,4.166,0.909,4.074,4.481,0.978,7.213216635,10.79368286,6.333748712,7.712522979,0.876175611,0.397763887,5.154120018,0.645282934,0.539065338,0.397763887,0.397763887,3.244968183,3.899470158,8.243249139,0.399363645,0.397763887,0.876175611,3.922736281,6.455941153,7.824123106,9.834696604,0.538265459,6.912037359,1.090079389,1.387928501,8.271156146,8.687331532,0.404162917,1.191490883,1.266313173,0.404162917,1.654634553,1.616081744,0.397763887,1.122646648,0.746672846
"MYBPC1",3.826,2.219,0.58,2.661,4.587,1.199,14.33092134,2.487612698,1.740769703,1.042362669,0.876175611,0.451355762,5.916543851,2.242143876,0.539065338,0.397763887,0.485446671,2.032767645,5.783097152,0.849531882,3.515999217,2.504361916,0.40256316,2.760054933,4.974651751,0.538265459,2.012436927,1.365201229,7.382723758,4.027248285,1.387928501,6.119404537,7.239572397,0.404162917,1.191490883,0.404162917,1.04900997,1.654634553,0.442557096,1.283524232,2.654638801,1.705805889
"MYL2",3.735,1.908,0.511,2.215,4.336,1.161,13.79708168,0.435358187,2.662250748,0.538265459,0.447356368,0.451355762,3.980957649,4.501503704,2.514336283,0.436158066,0.397763887,1.365201229,3.980957649,0.849531882,3.073819626,0.431358794,0.876175611,0.451355762,2.764771268,0.538265459,2.012436927,0.538265459,6.154243856,5.401678517,1.387928501,6.391545407,6.140356229,0.404162917,1.191490883,1.266313173,1.04900997,1.654634553,0.442557096,0.485446671,1.122646648,2.829306484
"CIDEA",3.075,2.087,0.679,2.225,3.278,1.066,1.33296826,8.301693924,2.032767645,4.063750197,0.447356368,0.451355762,2.353524895,0.645282934,0.539065338,0.436158066,0.485446671,1.762438914,1.397102989,5.5573194,0.399363645,0.431358794,1.976491825,0.397763887,0.399363645,5.197445352,8.11464901,0.538265459,5.078758139,2.134593951,0.426559521,5.772655594,5.718235883,0.788927876,1.191490883,1.266313173,1.04900997,0.436158066,1.616081744,0.485446671,2.012436927,0.746672846
"TNNT1",2.991,1.69,0.565,2.564,4.537,1.517,12.82514469,0.397763887,2.032767645,0.538265459,1.397102989,1.442815717,3.584725954,3.197097342,2.777862212,0.397763887,1.966855497,0.399363645,4.302262508,1.654634553,2.932638381,0.671126785,4.144849952,0.923946856,2.764771268,1.591368981,3.910498147,1.966855497,5.584042184,4.956616434,3.350319706,5.946140458,5.418447844,1.998084263,1.191490883,1.266313173,0.404162917,0.436158066,1.616081744,5.215603801,1.122646648,0.40256316
"XIRP2",2.932,1.582,0.54,2.437,4.515,1.54,12.66062708,1.811494127,1.740769703,1.3812812,0.397763887,0.451355762,5.259809845,2.718409682,0.397763887,0.436158066,0.485446671,1.762438914,6.132244917,0.445756611,5.731967914,0.431358794,0.876175611,0.451355762,5.191675796,0.397763887,2.012436927,3.538287153,5.41360429,3.135256584,4.147195984,5.66312788,5.19547185,1.406277477,4.13182593,0.404162917,1.04900997,2.708146745,2.58224178,0.397763887,0.434558309,0.746672846
"SLN",2.746,2.049,0.746,1.551,2.079,0.757,9.633982533,0.435358187,0.517137944,0.538265459,0.397763887,0.849531882,3.282401135,1.566656218,1.911560965,0.538265459,0.485446671,1.762438914,3.600766498,0.445756611,1.406277477,0.397763887,0.40256316,1.591368981,0.399363645,0.397763887,2.012436927,1.365201229,2.654638801,1.090079389,1.387928501,3.0005806,2.973400595,0.404162917,0.419360613,1.266313173,0.404162917,0.436158066,1.616081744,0.397763887,1.122646648,0.746672846
"TUSC5",2.711,2.463,0.908,4.269,4.699,1.733,2.769487603,9.794022494,7.266864208,6.908216895,1.740769703,0.397763887,7.005709846,1.566656218,1.911560965,0.660563027,0.397763887,3.522134156,3.264534831,8.440022737,1.8756988,1.635358149,3.969236233,3.788994051,5.916543851,8.176071059,8.63127617,1.966855497,6.248470245,3.873361564,0.426559521,7.822849212,7.855322065,0.404162917,3.929564839,3.799929183,0.404162917,0.436158066,0.442557096,2.69459396,3.081863027,0.40256316
"MYH7",2.679,1.83,0.683,4.374,6.403,2.39,15.8259157,2.777862212,4.702787893,3.316068475,2.976389622,4.246265822,6.605799635,6.381207964,3.105358815,1.976491825,3.282401135,4.385890626,4.607630743,3.471588771,5.251107559,3.816447167,3.74256284,0.397763887,5.691598713,3.282401135,2.012436927,3.799929183,8.615699648,5.741181881,3.978226805,8.044603318,8.237596076,1.998084263,3.0005806,2.462954459,0.404162917,4.456702013,3.091121373,2.376768533,2.012436927,1.705805889
