"","DE_ctrl_adv","DE_ctrl_early","DE_early_adv","Fold_Change_Early_Control","Fold_Change_Advanced_Control","Fold_Change_Advanced_Early","Advanced_DM_Means","Early_DM_Means","Control_noDM_Means","A11A","A12A","A13A","A14A","A15A","A17A","A18A","A19A","A20A","A21A","A22A","A23A","A24A","A25A","A26A","A28A","A29A","A30A","A31A","A32A","A33A","B3B","B4B","B5B","B6B","B8B","B9B","N2A","N3A","N5B","N6B","N7B","N8B","N10B","N12B","N13B"
"FOSB",5.47,6.752,-1.282,0.418,0.529,1.264,6.134,4.852,11.604,6.236174254,6.295194217,5.776340664,5.372307897,5.009018189,5.284455867,6.349886783,6.144951305,6.22749968,5.746578992,13.72471579,5.36273747,6.51026876,4.880906429,6.218474008,5.731967914,4.730835927,4.351313741,6.521272781,6.642203258,5.690487131,4.110668617,5.372307897,4.863434937,4.938253861,4.705810006,5.119997792,9.076846412,9.94908418,11.96111159,11.24556907,14.31172814,11.28195695,11.1498469,10.93597743,14.52164212
"NR4A1",4.712,4.977,-0.265,0.657,0.675,1.028,9.799,9.534,14.511,9.652199984,10.79812088,9.95749933,9.274544594,9.674947126,9.637751002,8.9372683,9.441861924,9.565760861,9.846661755,10.49032751,9.910499786,11.63562253,9.923560894,9.192890255,10.06839338,9.779653761,8.946589251,9.332249869,11.26048167,8.457368668,9.634345153,9.212866742,9.974411136,9.987346602,9.139439082,9.252668698,14.4456073,13.72925867,14.54378978,14.54807576,14.84354324,14.10909216,13.89744105,14.41095,16.07538853
"FOS",4.236,6.021,-1.785,0.567,0.695,1.226,9.672,7.887,13.908,8.874235694,9.546438062,9.323421647,8.556029245,9.32212856,10.38896017,9.928527627,9.614908755,9.323728376,10.04274163,14.38206637,8.440986124,10.6702902,9.042071998,9.558110831,9.427817008,8.572181881,9.017637286,9.991379296,10.1211923,8.966379904,7.544889589,7.522020314,8.199565905,8.174239465,8.278302382,7.600096934,13.6301155,13.45632926,14.12915619,14.08024925,15.39118316,13.73570465,12.18914244,14.00735445,14.55372399
"SRRM4",4.112,0.075,4.037,0.99,0.462,0.467,3.538,7.575,7.65,2.769487603,3.633229056,6.784768407,4.60935761,2.769487603,0.849531882,2.807771653,3.51372621,0.397763887,3.081863027,3.87914731,6.946426128,0.397763887,5.483157035,1.8756988,3.207494659,5.619184827,2.760054933,2.436186927,3.79572521,6.68568224,7.733233791,8.283015407,8.25096286,7.895542435,5.797667936,7.491997379,7.674079072,7.097292154,8.157700979,8.08200824,7.831409879,6.865605315,7.902544249,7.939761189,7.302396745
"KLK1",4.082,-0.134,4.216,1.013,0.615,0.607,6.516,10.732,10.598,7.147689357,7.75796721,10.49455189,8.092814213,5.186177337,4.071644432,2.353524895,5.038350319,6.162500831,7.768661738,5.053473161,9.270327717,4.185781504,6.856431819,2.786236821,7.324964824,10.24968235,6.785916586,4.359322763,8.059516495,7.830000576,9.951721079,10.98001903,11.74880097,10.32508183,10.86700167,10.5185159,9.596434933,10.07039151,9.889915216,11.01910082,11.37479056,10.45300718,11.36204251,11.05254099,10.56246414
"NR4A2",4.07,4.765,-0.695,0.548,0.614,1.12,6.466,5.771,10.536,5.764774731,6.879299433,5.971196939,5.808219711,5.958825135,6.510045706,6.552234516,5.565921239,6.128175749,6.759605362,7.910586425,5.795291497,8.25096286,6.352331866,6.304624909,6.762795744,5.65949343,6.359386213,6.994503887,7.457011237,6.03812396,5.835423952,5.829800005,6.139559404,5.609946628,5.372307897,5.839359387,10.55325497,9.107445312,11.44769221,10.84748162,10.04561487,10.13122278,10.27941552,10.9548457,11.4603226
"EGR1",3.654,5.332,-1.678,0.612,0.734,1.2,10.072,8.394,13.726,9.805294733,10.45391038,9.6768887,9.803062427,10.09512958,9.873972515,9.428254033,9.47206387,9.5682159,11.07667764,12.95608787,9.101395772,10.73962567,10.01567876,10.85420571,11.0463214,8.117618137,9.094643565,10.91994995,10.67801817,8.739775195,9.128902758,8.355939888,8.352077047,8.041655457,7.683925024,8.798573102,12.84114083,12.60505887,13.85462971,14.01616057,14.70232099,13.66937897,12.96036377,13.60353563,15.27736572
"USP9Y",3.5,-0.151,3.651,1.014,0.669,0.66,7.079,10.73,10.579,12.17038554,11.92579836,12.00961813,12.15835798,12.04635326,11.81258679,1.854160221,0.399363645,1.369917564,12.27444656,12.27295876,2.807771653,1.397102989,2.078368242,0.399363645,12.17484714,0.876175611,12.24102187,2.436186927,1.976491825,11.98090284,12.03685043,12.31298746,11.95910231,3.785704203,12.15503944,12.12943425,12.3817516,12.52383229,4.63467479,12.46493567,4.160128555,12.36823278,12.26728773,12.16568367,12.24653343
"MIR3189",3.397,3.212,0.185,0.581,0.557,0.958,4.266,4.451,7.663,2.97937865,3.633229056,4.838628368,4.319617393,3.748914742,4.447918473,5.305720231,4.98945788,4.861853255,5.746578992,4.785947706,3.87914731,5.028081685,2.769487603,4.318276665,4.487609391,5.059598462,3.464188365,6.002469741,4.513837929,0.398563766,4.549394947,4.09245356,4.351313741,4.511066048,5.053473161,4.149542017,8.065247644,8.228199415,7.669891727,8.897080038,8.278709922,7.63842999,4.727863035,7.629306157,7.833015681
"ATF3",3.367,4.416,-1.049,0.62,0.71,1.146,8.256,7.207,11.623,7.656132734,8.295051468,7.767067131,7.858064509,7.982145924,8.565818561,7.85640938,8.355213037,8.242579061,8.168758238,10.1460226,7.658450803,8.678643962,7.592182086,8.081546119,8.515112709,7.475365971,8.146194521,9.151175564,8.799859707,8.394065313,7.507419399,7.069170672,7.381491561,7.384126979,6.993012384,6.90446026,11.68679252,11.01404191,10.75406366,11.8431596,12.71844614,11.50705763,10.22742615,12.06269557,12.78930985
