"","DE_ctrl_adv","DE_ctrl_early","DE_early_adv","Fold_Change_Early_Control","Fold_Change_Advanced_Control","Fold_Change_Advanced_Early","Advanced_DM_Means","Early_DM_Means","Control_noDM_Means","A11A","A12A","A13A","A14A","A15A","A17A","A18A","A19A","A20A","A21A","A22A","A23A","A24A","A25A","A26A","A28A","A29A","A30A","A31A","A32A","A33A","B3B","B4B","B5B","B6B","B8B","B9B","N2A","N3A","N5B","N6B","N7B","N8B","N10B","N12B","N13B"
"FOSB",5.47,6.752,-1.282,0.418,0.529,1.264,6.134,4.852,11.604,6.236174254,6.295194217,5.776340664,5.372307897,5.009018189,5.284455867,6.349886783,6.144951305,6.22749968,5.746578992,13.72471579,5.36273747,6.51026876,4.880906429,6.218474008,5.731967914,4.730835927,4.351313741,6.521272781,6.642203258,5.690487131,4.110668617,5.372307897,4.863434937,4.938253861,4.705810006,5.119997792,9.076846412,9.94908418,11.96111159,11.24556907,14.31172814,11.28195695,11.1498469,10.93597743,14.52164212
"FOS",4.236,6.021,-1.785,0.567,0.695,1.226,9.672,7.887,13.908,8.874235694,9.546438062,9.323421647,8.556029245,9.32212856,10.38896017,9.928527627,9.614908755,9.323728376,10.04274163,14.38206637,8.440986124,10.6702902,9.042071998,9.558110831,9.427817008,8.572181881,9.017637286,9.991379296,10.1211923,8.966379904,7.544889589,7.522020314,8.199565905,8.174239465,8.278302382,7.600096934,13.6301155,13.45632926,14.12915619,14.08024925,15.39118316,13.73570465,12.18914244,14.00735445,14.55372399
"EGR1",3.654,5.332,-1.678,0.612,0.734,1.2,10.072,8.394,13.726,9.805294733,10.45391038,9.6768887,9.803062427,10.09512958,9.873972515,9.428254033,9.47206387,9.5682159,11.07667764,12.95608787,9.101395772,10.73962567,10.01567876,10.85420571,11.0463214,8.117618137,9.094643565,10.91994995,10.67801817,8.739775195,9.128902758,8.355939888,8.352077047,8.041655457,7.683925024,8.798573102,12.84114083,12.60505887,13.85462971,14.01616057,14.70232099,13.66937897,12.96036377,13.60353563,15.27736572
"NR4A1",4.712,4.977,-0.265,0.657,0.675,1.028,9.799,9.534,14.511,9.652199984,10.79812088,9.95749933,9.274544594,9.674947126,9.637751002,8.9372683,9.441861924,9.565760861,9.846661755,10.49032751,9.910499786,11.63562253,9.923560894,9.192890255,10.06839338,9.779653761,8.946589251,9.332249869,11.26048167,8.457368668,9.634345153,9.212866742,9.974411136,9.987346602,9.139439082,9.252668698,14.4456073,13.72925867,14.54378978,14.54807576,14.84354324,14.10909216,13.89744105,14.41095,16.07538853
"RGS1",2.693,4.943,-2.25,0.381,0.663,1.74,5.292,3.042,7.985,3.868859535,4.383082752,4.982576852,4.495764638,5.231776225,5.935359525,4.263050366,6.77808848,5.584042184,3.212672835,7.900453181,5.322412978,8.020436309,6.104776722,6.105066894,6.542456456,3.509227588,7.546324808,4.671411255,4.652172711,2.012436927,3.356967007,3.170508835,2.134593951,3.350319706,3.264534831,2.973400595,7.821770573,6.799525076,8.567215537,7.969303752,7.820464132,7.522326565,8.404501316,7.833266755,9.128226988
"NR4A2",4.07,4.765,-0.695,0.548,0.614,1.12,6.466,5.771,10.536,5.764774731,6.879299433,5.971196939,5.808219711,5.958825135,6.510045706,6.552234516,5.565921239,6.128175749,6.759605362,7.910586425,5.795291497,8.25096286,6.352331866,6.304624909,6.762795744,5.65949343,6.359386213,6.994503887,7.457011237,6.03812396,5.835423952,5.829800005,6.139559404,5.609946628,5.372307897,5.839359387,10.55325497,9.107445312,11.44769221,10.84748162,10.04561487,10.13122278,10.27941552,10.9548457,11.4603226
"ATF3",3.367,4.416,-1.049,0.62,0.71,1.146,8.256,7.207,11.623,7.656132734,8.295051468,7.767067131,7.858064509,7.982145924,8.565818561,7.85640938,8.355213037,8.242579061,8.168758238,10.1460226,7.658450803,8.678643962,7.592182086,8.081546119,8.515112709,7.475365971,8.146194521,9.151175564,8.799859707,8.394065313,7.507419399,7.069170672,7.381491561,7.384126979,6.993012384,6.90446026,11.68679252,11.01404191,10.75406366,11.8431596,12.71844614,11.50705763,10.22742615,12.06269557,12.78930985
"NR4A3",3.145,3.644,-0.499,0.664,0.71,1.069,7.691,7.192,10.836,7.001810861,7.990588812,7.483536916,7.313740566,7.931506019,7.465422793,6.976386223,7.941234289,7.49162907,7.594954756,7.653642254,7.226183555,9.52136181,7.601989308,7.298931716,8.26939892,7.313045945,7.958655292,7.198246596,8.740991519,7.527446529,7.050674128,7.216012551,7.532526838,7.20116429,7.469632745,6.682604583,10.26011269,9.213749205,11.7049218,11.18011651,10.49143274,10.07635756,10.94943677,10.44440253,13.20125105
"DUSP1",3.09,3.438,-0.348,0.748,0.774,1.034,10.576,10.228,13.666,10.17494335,10.6469643,10.30156384,9.658895394,10.09353116,11.06986166,11.09021416,10.40965448,10.04654934,10.60723062,13.01273051,10.33000987,11.2151335,10.07039151,10.19468736,10.53432353,10.73385126,10.22606513,10.76763681,10.58898536,10.33034136,10.04627332,9.747046617,10.46670755,10.40021796,10.66408575,10.04544124,13.82252965,13.12461169,14.06160767,14.29841684,14.09490405,13.5472206,12.72650286,13.46086166,13.86009234
"CCL3",1.453,3.385,-1.932,0.5,0.785,1.57,5.32,3.388,6.773,4.698918153,5.560727816,4.048778622,3.421145623,6.375698638,6.654139977,5.053473161,5.926498858,5.756593252,4.955007674,7.433303503,3.406927339,5.565921239,5.376969294,5.87001348,5.100050992,4.246265822,4.933155652,6.10985839,4.847241442,6.371964739,2.637020426,2.654638801,2.69459396,4.781733641,3.945103895,3.612535778,6.189290945,5.835143701,6.268252176,6.191338926,8.857711124,6.7638881,5.372307897,6.737159978,8.73778906
