"","DE_ctrl_adv","DE_ctrl_early","DE_early_adv","Fold_Change_Early_Control","Fold_Change_Advanced_Control","Fold_Change_Advanced_Early","Advanced_DM_Means","Early_DM_Means","Control_noDM_Means","A11A","A12A","A13A","A14A","A15A","A17A","A18A","A19A","A20A","A21A","A22A","A23A","A24A","A25A","A26A","A28A","A29A","A30A","A31A","A32A","A33A","B3B","B4B","B5B","B6B","B8B","B9B","N2A","N3A","N5B","N6B","N7B","N8B","N10B","N12B","N13B"
"KLK1",4.082,-0.134,4.216,1.013,0.615,0.607,6.516,10.732,10.598,7.147689357,7.75796721,10.49455189,8.092814213,5.186177337,4.071644432,2.353524895,5.038350319,6.162500831,7.768661738,5.053473161,9.270327717,4.185781504,6.856431819,2.786236821,7.324964824,10.24968235,6.785916586,4.359322763,8.059516495,7.830000576,9.951721079,10.98001903,11.74880097,10.32508183,10.86700167,10.5185159,9.596434933,10.07039151,9.889915216,11.01910082,11.37479056,10.45300718,11.36204251,11.05254099,10.56246414
"SRRM4",4.112,0.075,4.037,0.99,0.462,0.467,3.538,7.575,7.65,2.769487603,3.633229056,6.784768407,4.60935761,2.769487603,0.849531882,2.807771653,3.51372621,0.397763887,3.081863027,3.87914731,6.946426128,0.397763887,5.483157035,1.8756988,3.207494659,5.619184827,2.760054933,2.436186927,3.79572521,6.68568224,7.733233791,8.283015407,8.25096286,7.895542435,5.797667936,7.491997379,7.674079072,7.097292154,8.157700979,8.08200824,7.831409879,6.865605315,7.902544249,7.939761189,7.302396745
"KDM5D",3.073,-0.7,3.773,1.068,0.7,0.656,7.181,10.954,10.254,12.56196424,12.56716464,12.3036496,12.57391354,12.871237,12.13094599,0.398563766,1.566656218,0.397763887,12.42975667,12.55899617,3.244968183,1.397102989,2.298637679,0.399363645,12.75300966,0.876175611,12.70854983,1.911560965,0.397763887,12.45228348,12.37920318,12.36161158,12.40982691,4.147195984,12.27742259,12.14799401,12.2312785,12.27323468,3.301384602,12.25704215,3.612535778,12.24927144,12.27772473,12.14583239,11.94019685
"RPS4Y1",2.849,-0.876,3.725,1.087,0.717,0.66,7.224,10.949,10.073,12.37011816,12.17038554,12.06269557,12.29434886,12.47705598,13.32077771,2.353524895,2.012436927,1.911560965,12.0336095,12.0567618,0.399363645,0.397763887,2.078368242,0.399363645,12.28349346,1.976491825,13.1872982,1.911560965,0.397763887,13.60021085,12.34946087,12.2543075,12.22080929,3.785704203,12.96036377,12.1231992,11.97246871,12.17623809,3.799929183,12.06223313,3.292087985,11.9761254,11.67000658,11.88071289,11.82376548
"USP9Y",3.5,-0.151,3.651,1.014,0.669,0.66,7.079,10.73,10.579,12.17038554,11.92579836,12.00961813,12.15835798,12.04635326,11.81258679,1.854160221,0.399363645,1.369917564,12.27444656,12.27295876,2.807771653,1.397102989,2.078368242,0.399363645,12.17484714,0.876175611,12.24102187,2.436186927,1.976491825,11.98090284,12.03685043,12.31298746,11.95910231,3.785704203,12.15503944,12.12943425,12.3817516,12.52383229,4.63467479,12.46493567,4.160128555,12.36823278,12.26728773,12.16568367,12.24653343
"DDX3Y",3.311,-0.3,3.611,1.031,0.663,0.644,6.523,10.134,9.834,11.49368154,11.14245796,11.40881504,11.43366856,11.25943152,11.18636295,2.650776869,0.645282934,0.539065338,11.40600453,11.57350003,1.365201229,0.397763887,0.849531882,1.090079389,11.58340784,3.261214595,11.53671931,0.399363645,0.397763887,11.35760157,11.40513455,11.54199925,11.2504417,3.978226805,11.26728852,11.36094223,11.63901262,11.76039366,3.301384602,11.85737669,3.292087985,11.47682522,11.66206902,11.51644952,12.00171016
"GSTT1",2.807,-0.792,3.599,1.086,0.696,0.641,6.415,10.014,9.222,0.436158066,11.09334572,11.05162713,1.3812812,10.89036591,0.451355762,10.34880538,10.96223947,1.369917564,11.05857673,0.923946856,0.399363645,11.2088608,0.849531882,10.73510327,10.69603848,11.7278434,0.923946856,2.436186927,12.32002562,3.460312945,12.38943939,11.30931648,2.134593951,11.19706919,11.79273966,11.26100271,12.06580418,11.26464097,0.404162917,11.07569373,11.28718087,2.58224178,11.10215284,11.22764781,11.98651769
"C11orf87",2.972,-0.591,3.563,1.096,0.517,0.471,3.176,6.739,6.148,4.534858576,2.777862212,7.475109358,3.197097342,3.17860443,2.158248653,0.788927876,2.012436927,0.539065338,0.397763887,2.840255054,4.886056057,2.998649634,4.123659967,1.8756988,3.816447167,5.495287309,3.922736281,1.365201229,2.69459396,5.609946628,4.180068372,7.809792412,7.624866217,6.513865283,7.435745035,6.866819202,6.53062033,7.67220104,6.322450321,5.697619513,5.652425263,6.385494344,4.98945788,6.20094042,5.88468562
"UTY",3.183,-0.355,3.538,1.035,0.69,0.667,7.091,10.629,10.274,11.95511652,11.53919548,11.82796125,11.99818114,12.00189823,11.48804087,2.353524895,2.540986841,0.397763887,11.87538665,12.20334344,1.762438914,2.451590823,1.365201229,0.399363645,12.15115858,3.261214595,12.08618465,2.436186927,1.157068766,11.66086928,11.7697902,12.22669791,11.91306557,4.147195984,11.92760862,11.78878082,12.10352378,12.19310574,3.799929183,12.16167461,4.456702013,12.03553601,12.02634725,11.8462577,11.84170553
"LOC101927136",2.869,-0.605,3.474,1.079,0.625,0.579,4.772,8.246,7.641,3.986626744,2.777862212,6.740304331,6.703449004,4.466830015,4.447918473,2.650776869,4.298834237,2.514336283,3.74256284,5.213831017,7.49162907,4.827139037,4.437317079,6.019528788,2.880966757,7.720040041,4.608249468,4.912920219,5.522650574,4.240585979,7.352853278,8.727962981,8.843544751,8.003255066,8.630970634,7.914786299,6.237960361,9.175175416,8.148212761,7.60874076,6.71090155,9.23491085,6.159082411,8.225429324,7.271414855
