"","DE_ctrl_adv","DE_ctrl_early","DE_early_adv","Fold_Change_Early_Control","Fold_Change_Advanced_Control","Fold_Change_Advanced_Early","Advanced_DM_Means","Early_DM_Means","Control_noDM_Means","A11A","A12A","A13A","A14A","A15A","A17A","A18A","A19A","A20A","A21A","A22A","A23A","A24A","A25A","A26A","A28A","A29A","A30A","A31A","A32A","A33A","B3B","B4B","B5B","B6B","B8B","B9B","N2A","N3A","N5B","N6B","N7B","N8B","N10B","N12B","N13B"
"COL6A5",-4.093,-0.39,-3.703,1.204,3.144,2.611,6.002,2.299,1.909,4.990298796,6.524495849,4.611453344,4.154835286,5.919503061,7.105350399,5.997889512,8.381987137,8.07354607,4.740758791,5.370816482,4.18413245,6.848806873,7.86987581,7.88185322,7.155093959,1.976491825,5.103922831,7.599067895,5.197445352,6.34809127,2.306343042,1.989117181,2.134593951,1.387928501,3.0005806,2.973400595,1.998084263,2.447212526,3.301384602,2.669862696,0.436158066,0.442557096,0.397763887,2.654638801,2.829306484
"CCL19",-4.054,-0.471,-3.583,1.075,1.644,1.53,10.345,6.762,6.291,10.0214948,10.48416946,9.109733197,10.59952773,11.79394192,10.95905846,11.09814066,12.22853843,10.6464741,10.55475453,9.583477391,9.041688326,12.32660391,11.62473783,11.31737264,11.39722801,6.827047665,12.9466136,5.075601443,8.14611513,11.46565072,6.978780119,5.160938999,6.663742294,7.069009151,9.204296581,5.494251537,6.556142938,6.338748949,5.840430671,4.844133449,6.28765358,6.703280856,6.827047665,6.07708944,7.148126564
"CFHR1",-3.903,-1.219,-2.684,1.374,2.196,1.599,7.166,4.482,3.263,6.270311024,6.674993257,5.60820243,6.338748949,8.426464437,9.003624471,5.101109053,7.934925303,9.177859132,7.350489434,6.261884497,5.66398379,8.231222723,6.330827143,7.387432416,8.40042369,5.994315196,7.566016228,7.413853623,5.362322404,9.984478145,4.819557423,4.09245356,5.084436604,5.152296597,4.428714542,3.316068475,4.425502949,4.804177949,3.570243438,0.404162917,3.292087985,2.58224178,2.69459396,4.763946886,2.829306484
"GREM1",-3.85,-2.461,-1.389,2.107,2.732,1.297,6.073,4.684,2.223,7.084098768,5.314215924,3.809963495,7.071858518,6.404712899,6.436501688,4.743703943,5.840663217,7.06982917,5.152296597,5.569226609,6.257955429,6.848806873,7.76828278,6.328865961,7.424898285,6.449496647,7.905596549,2.436186927,4.351313741,7.257830981,6.547477864,3.170508835,5.197860419,3.978226805,5.221966142,3.986626744,1.406277477,2.447212526,4.003707171,2.158248653,0.436158066,0.442557096,2.97937865,0.434558309,5.697619513
"DCANP1",-3.798,-1.207,-2.591,1.387,2.218,1.599,6.917,4.326,3.119,6.96652251,6.690314592,5.497257858,7.195536144,8.204565935,7.063188377,8.114496386,9.465751488,7.16829499,5.199075364,6.312456567,5.763908073,8.07012173,8.505713546,8.423018981,8.406450728,5.105318298,8.089865415,4.447918473,4.847241442,5.728357638,4.110668617,4.63956861,5.292908511,4.39629983,5.053473161,2.462954459,3.860224659,0.419360613,4.63467479,3.904004964,0.436158066,3.091121373,4.09245356,3.376495105,4.256894994
"IGLL5",-3.665,-0.063,-3.602,1.007,1.399,1.389,12.855,9.253,9.19,9.978934568,12.77080493,8.755262875,14.11218704,11.52940385,14.02228149,12.83770759,14.20517835,13.80691667,10.32755315,13.34657185,11.25252922,15.06858786,13.70672415,15.24279998,14.17252016,9.484837499,13.24480165,13.11418127,14.915698,14.05892272,9.922672904,9.086390265,6.387539847,11.29256697,10.34763237,8.47954526,10.1302215,6.955624051,12.36479344,7.938340286,8.075519652,7.364522918,10.0266517,8.425301776,11.43175628
"PAX5",-3.662,-0.208,-3.454,1.048,1.843,1.759,8.006,4.552,4.344,9.421738708,8.130306304,6.947095304,9.163351192,9.207359755,5.983387752,7.820464132,9.552748316,7.797541614,6.673347876,8.221783997,8.048473059,9.475759277,9.127188841,8.018603928,8.456381428,4.44522175,10.43113247,7.340088262,7.261215965,6.604499555,5.610871796,4.495764638,5.084436604,0.426559521,6.311870824,5.380883096,5.619184827,0.419360613,5.441351628,3.37114252,4.98945788,0.442557096,6.453360511,4.196658937,8.165036476
"LINC01426",-3.634,-1.37,-2.264,1.505,2.339,1.554,6.348,4.084,2.714,6.478057001,6.772114456,4.177777078,6.270311024,6.915085066,6.806878167,6.552234516,7.092122125,7.009975702,6.026027234,6.778381417,3.992474167,6.652723247,5.82764932,7.730317264,6.401147436,4.333648847,6.559420125,7.693430222,6.295194217,6.933679447,4.180068372,3.580475988,3.672920967,4.709594781,4.089789182,4.271576041,2.983332323,0.419360613,2.462954459,3.904004964,2.708146745,0.442557096,5.215603801,3.081863027,3.207494659
"XIST",-3.518,0.749,-4.267,0.865,1.634,1.888,9.071,4.804,5.553,3.7716396,0.397763887,0.399363645,1.705805889,0.447356368,5.209824596,15.85746057,15.33194272,15.54868947,5.513473953,5.163380914,15.75425926,15.39118316,15.71455686,15.85746057,5.557962395,14.94177954,5.155943439,15.35971531,15.39118316,2.012436927,0.397763887,0.403363038,2.69459396,15.45965053,5.053473161,4.816857144,0.404162917,2.447212526,15.62672651,6.988901075,15.57152274,6.163733113,1.939208231,0.434558309,0.40256316
"IRF4",-3.366,-0.007,-3.359,1.001,1.512,1.51,9.944,6.585,6.578,8.91255564,9.696660876,7.105940217,11.34326194,9.940411074,9.965417776,10.02096136,11.45618874,10.45535809,7.795608657,10.54758282,8.431290039,11.8204384,11.00087186,11.4447759,10.63620314,7.388534153,10.65613607,9.173557515,11.15028172,9.884252195,7.709602327,6.031115419,5.713654378,7.290811357,6.887148155,5.876104227,7.119459978,5.493215766,8.139375135,6.546994139,6.366215029,5.357468636,6.756957402,5.934944458,7.487928815
