"","DE_ctrl_adv","DE_ctrl_early","DE_early_adv","Fold_Change_Early_Control","Fold_Change_Advanced_Control","Fold_Change_Advanced_Early","Advanced_DM_Means","Early_DM_Means","Control_noDM_Means","A11A","A12A","A13A","A14A","A15A","A17A","A18A","A19A","A20A","A21A","A22A","A23A","A24A","A25A","A26A","A28A","A29A","A30A","A31A","A32A","A33A","B3B","B4B","B5B","B6B","B8B","B9B","N2A","N3A","N5B","N6B","N7B","N8B","N10B","N12B","N13B"
"XIST",-3.518,0.749,-4.267,0.865,1.634,1.888,9.071,4.804,5.553,3.7716396,0.397763887,0.399363645,1.705805889,0.447356368,5.209824596,15.85746057,15.33194272,15.54868947,5.513473953,5.163380914,15.75425926,15.39118316,15.71455686,15.85746057,5.557962395,14.94177954,5.155943439,15.35971531,15.39118316,2.012436927,0.397763887,0.403363038,2.69459396,15.45965053,5.053473161,4.816857144,0.404162917,2.447212526,15.62672651,6.988901075,15.57152274,6.163733113,1.939208231,0.434558309,0.40256316
"CXCL6",-2.969,1.064,-4.033,0.779,1.617,2.077,7.779,3.746,4.81,7.914216145,8.732066296,4.838628368,6.639842711,9.300735118,9.805398779,6.552234516,8.857353895,9.096776512,6.183906,8.267949854,4.98945788,9.427460178,7.794592268,8.61005034,8.742373784,6.449496647,8.777240335,6.600294863,7.340629313,8.448678668,5.759093696,4.63956861,0.421760249,4.39629983,3.945103895,3.316068475,4.658244313,3.421145623,3.301384602,6.162500831,4.456702013,5.45688316,5.372307897,4.196658937,6.267665482
"GSTM1",-1.255,2.698,-3.953,0.504,1.231,2.443,6.693,2.74,5.438,0.538265459,9.3391238,9.592220489,10.32221792,10.13038453,9.854313627,8.778940923,9.221480925,0.539065338,9.238073375,0.397763887,9.4996315,0.397763887,2.078368242,0.581817451,9.080126113,9.480288257,10.65310039,2.436186927,9.10536399,9.280144709,0.538265459,0.403363038,3.135256584,2.487612698,9.390722811,0.485446671,8.978611181,1.191490883,9.222544406,8.798495959,9.166980652,9.460636075,1.283524232,0.434558309,0.40256316
"ADAMDEC1",-2.236,1.511,-3.747,0.346,1.968,5.69,4.546,0.799,2.31,3.986626744,5.560727816,3.197097342,4.863434937,4.883616074,3.856091811,4.603667768,5.840663217,5.376969294,3.509227588,3.600766498,2.032767645,6.160632696,7.051040667,5.368031113,5.812513449,0.40256316,6.23860966,4.974651751,4.13182593,4.017255252,0.538265459,1.989117181,0.421760249,0.426559521,0.397763887,1.021751519,1.406277477,2.447212526,1.266313173,3.040142366,0.436158066,3.091121373,5.610871796,1.122646648,2.365146714
"COL6A5",-4.093,-0.39,-3.703,1.204,3.144,2.611,6.002,2.299,1.909,4.990298796,6.524495849,4.611453344,4.154835286,5.919503061,7.105350399,5.997889512,8.381987137,8.07354607,4.740758791,5.370816482,4.18413245,6.848806873,7.86987581,7.88185322,7.155093959,1.976491825,5.103922831,7.599067895,5.197445352,6.34809127,2.306343042,1.989117181,2.134593951,1.387928501,3.0005806,2.973400595,1.998084263,2.447212526,3.301384602,2.669862696,0.436158066,0.442557096,0.397763887,2.654638801,2.829306484
"TCL1A",-2.301,1.343,-3.644,0.585,1.711,2.924,5.538,1.894,3.237,5.453923613,5.36273747,2.436186927,5.909301164,6.532490157,5.421338247,5.778905114,9.27306135,6.52583637,0.660563027,4.442334235,6.04323356,8.218267369,7.76828278,6.529456702,5.154120018,3.74256284,8.264120727,5.191675796,1.976491825,5.609946628,1.966855497,0.403363038,0.421760249,3.350319706,2.760054933,2.462954459,2.669862696,3.0005806,4.185781504,1.04900997,3.292087985,3.425129685,4.09245356,3.864357507,3.554440151
"HLA-DPB1",-1.755,1.858,-3.613,0.811,1.178,1.453,11.594,7.981,9.839,12.79744818,11.91364097,11.16000225,12.88473146,13.61053798,13.00524951,8.225429324,4.149542017,12.54572576,12.0797232,8.814760579,11.269613,12.72778541,12.10428216,12.83565206,13.4481501,10.96475245,13.01161175,11.13901574,11.23479594,13.54501914,7.770540741,6.330405368,4.183246058,11.70336937,7.504284917,10.39421746,11.43697604,11.34272195,10.70451628,10.72012648,10.68863396,10.4552338,1.283524232,11.30985077,10.60933261
"IGLL5",-3.665,-0.063,-3.602,1.007,1.399,1.389,12.855,9.253,9.19,9.978934568,12.77080493,8.755262875,14.11218704,11.52940385,14.02228149,12.83770759,14.20517835,13.80691667,10.32755315,13.34657185,11.25252922,15.06858786,13.70672415,15.24279998,14.17252016,9.484837499,13.24480165,13.11418127,14.915698,14.05892272,9.922672904,9.086390265,6.387539847,11.29256697,10.34763237,8.47954526,10.1302215,6.955624051,12.36479344,7.938340286,8.075519652,7.364522918,10.0266517,8.425301776,11.43175628
"CCL19",-4.054,-0.471,-3.583,1.075,1.644,1.53,10.345,6.762,6.291,10.0214948,10.48416946,9.109733197,10.59952773,11.79394192,10.95905846,11.09814066,12.22853843,10.6464741,10.55475453,9.583477391,9.041688326,12.32660391,11.62473783,11.31737264,11.39722801,6.827047665,12.9466136,5.075601443,8.14611513,11.46565072,6.978780119,5.160938999,6.663742294,7.069009151,9.204296581,5.494251537,6.556142938,6.338748949,5.840430671,4.844133449,6.28765358,6.703280856,6.827047665,6.07708944,7.148126564
"TNFRSF13B",-2.443,1.064,-3.507,0.602,1.914,3.181,5.115,1.608,2.672,5.862684007,3.905567504,3.922736281,6.237591935,5.633877434,3.856091811,5.458283212,6.976706114,4.985297707,2.533743319,5.569226609,4.449290221,7.345152681,5.728357638,5.61485414,5.915013049,3.969236233,7.054656522,3.785704203,5.151359527,3.460312945,2.637020426,0.403363038,2.69459396,0.426559521,2.462954459,1.021751519,2.669862696,2.447212526,5.983387752,2.158248653,0.436158066,0.442557096,2.376768533,2.654638801,4.877217949
"CTLA4",-1.283,2.193,-3.476,0.481,1.304,2.709,5.51,2.034,4.227,5.713654378,5.151359527,4.542370466,5.093924519,6.34809127,6.157385979,5.997889512,6.144951305,5.333809569,3.864357507,5.701407153,4.936463393,7.155740294,5.82764932,5.983387752,6.691473651,3.261214595,7.512053972,3.876254437,4.231529702,6.176063649,0.538265459,0.849531882,0.421760249,2.97937865,3.597108224,3.816447167,2.983332323,3.421145623,4.904415591,4.346836863,5.062515722,3.091121373,5.056198999,3.612535778,5.566564234
"PAX5",-3.662,-0.208,-3.454,1.048,1.843,1.759,8.006,4.552,4.344,9.421738708,8.130306304,6.947095304,9.163351192,9.207359755,5.983387752,7.820464132,9.552748316,7.797541614,6.673347876,8.221783997,8.048473059,9.475759277,9.127188841,8.018603928,8.456381428,4.44522175,10.43113247,7.340088262,7.261215965,6.604499555,5.610871796,4.495764638,5.084436604,0.426559521,6.311870824,5.380883096,5.619184827,0.419360613,5.441351628,3.37114252,4.98945788,0.442557096,6.453360511,4.196658937,8.165036476
"TUBB3",-3.29,0.154,-3.444,0.97,1.648,1.699,8.368,4.924,5.078,8.742373784,9.691046297,5.776340664,7.441560176,9.625008604,9.860077603,8.749834075,9.426690879,9.113705984,7.804673105,8.569072158,5.934529391,9.085484794,7.431118243,9.929110514,8.547607592,5.87001348,7.495538249,11.19289449,7.960079968,7.479380265,5.535600133,4.495764638,4.183246058,4.855275643,4.980742389,5.494251537,4.318276665,4.389545593,4.364101492,5.209824596,4.160128555,4.63956861,7.048707544,5.168126852,6.401147436
"LTF",-3.337,0.103,-3.44,0.989,1.34,1.354,13.145,9.705,9.808,14.10909216,13.70227951,11.28960309,14.02508758,13.54023527,15.34886166,12.68370607,13.16238248,14.28539008,12.74124292,13.22175983,9.589729506,14.17252016,11.46815228,13.91295651,14.58972442,9.552117276,11.77462379,17.28196875,12.49647462,13.09495053,10.39922949,10.95659479,8.974557643,8.609380498,8.760739662,10.53114682,9.440766719,8.246986886,9.394444826,11.9082495,8.896308964,9.734544393,11.91828036,7.794863746,10.93639349
"LOC101926964",-1.842,1.561,-3.403,0.606,1.465,2.419,5.802,2.399,3.96,5.713654378,5.560727816,4.177777078,5.462409296,6.829680305,6.411467652,5.497257858,7.797541614,7.285690559,3.864357507,5.529096207,5.152296597,6.95883003,5.885422472,6.961571924,6.77808848,4.730835927,5.5573194,4.103112795,6.23473351,5.346533134,4.878196784,2.654638801,4.027248285,0.426559521,1.387928501,1.021751519,3.969236233,4.617246683,3.570243438,3.904004964,4.316935937,3.904004964,3.767382294,4.037543861,3.554440151
