"Gene","dataType"
"ADAMTS4","Early Control Down"
"ATF3","Early Control Down"
"CCL3","Early Control Down"
"CXCL2","Early Control Down"
"CYR61","Early Control Down"
"DUSP1","Early Control Down"
"DUSP2","Early Control Down"
"EGR1","Early Control Down"
"EGR2","Early Control Down"
"EGR3","Early Control Down"
"FOS","Early Control Down"
"FOSB","Early Control Down"
"JUNB","Early Control Down"
"MIR3189","Early Control Down"
"NR4A1","Early Control Down"
"NR4A2","Early Control Down"
"NR4A3","Early Control Down"
"RGS1","Early Control Down"
"SLC2A3","Early Control Down"
"ZFP36","Early Control Down"
"C11orf87","Advanced Early Down"
"CYP4A22","Advanced Early Down"
"DDX3Y","Advanced Early Down"
"GSTT1","Advanced Early Down"
"GYG2P1","Advanced Early Down"
"HCRTR2","Advanced Early Down"
"ITLN1","Advanced Early Down"
"KDM5D","Advanced Early Down"
"KLK1","Advanced Early Down"
"LINC00278","Advanced Early Down"
"LINC01517","Advanced Early Down"
"LOC101927136","Advanced Early Down"
"MYCNOS","Advanced Early Down"
"RDH8","Advanced Early Down"
"RPS4Y1","Advanced Early Down"
"SRRM4","Advanced Early Down"
"TBL1Y","Advanced Early Down"
"TTTY14","Advanced Early Down"
"USP9Y","Advanced Early Down"
"UTY","Advanced Early Down"
"ATF3","Advanced Control Down"
"C11orf87","Advanced Control Down"
"DDX3Y","Advanced Control Down"
"DUSP1","Advanced Control Down"
"ACTA1","early up regulated"
"ADIPOQ","early up regulated"
"ATF6B","early up regulated"
"CIDEA","early up regulated"
"CIDEC","early up regulated"
"GREM1","early up regulated"
"GTF2H4","early up regulated"
"LEP","early up regulated"
"MB","early up regulated"
"MFAP5","early up regulated"
"MROH2B","early up regulated"
"MYBPC1","early up regulated"
"MYH7","early up regulated"
"MYL2","early up regulated"
"PLIN1","early up regulated"
"SCARA5","early up regulated"
"TNNT1","early up regulated"
"TUSC5","early up regulated"
"VARS2","early up regulated"
"XIRP2","early up regulated"
"ADAMDEC1","Advanced Early Up"
"CCL19","Advanced Early Up"
"COL6A5","Advanced Early Up"
"CTLA4","Advanced Early Up"
"CXCL6","Advanced Early Up"
"FAM30A","Advanced Early Up"
"FCRLA","Advanced Early Up"
"GSTM1","Advanced Early Up"
"HLA-DPB1","Advanced Early Up"
"IGLL5","Advanced Early Up"
"IL7R","Advanced Early Up"
"IRF4","Advanced Early Up"
"LOC101926964","Advanced Early Up"
"LTF","Advanced Early Up"
"MMP9","Advanced Early Up"
"PAX5","Advanced Early Up"
"TCL1A","Advanced Early Up"
"TNFRSF13B","Advanced Early Up"
"TUBB3","Advanced Early Up"
"XIST","Advanced Early Up"
"ACKR1","Advanced Control Up"
"ADIPOQ","Advanced Control Up"
"CCL19","Advanced Control Up"
"CCL21","Advanced Control Up"
"CFHR1","Advanced Control Up"
"CLEC4C","Advanced Control Up"
"COL6A5","Advanced Control Up"
"DCANP1","Advanced Control Up"
"FCRL2","Advanced Control Up"
"GREM1","Advanced Control Up"
"ACTA1","Early Control Fold Change Up"
"ADIPOQ","Early Control Fold Change Up"
"ATF6B","Early Control Fold Change Up"
"CIDEA","Early Control Fold Change Up"
"CIDEC","Early Control Fold Change Up"
"DUSP13","Early Control Fold Change Up"
"GABBR1","Early Control Fold Change Up"
"GREM1","Early Control Fold Change Up"
"LEP","Early Control Fold Change Up"
"LINC02133","Early Control Fold Change Up"
"MB","Early Control Fold Change Up"
"MFAP5","Early Control Fold Change Up"
"MYBPC1","Early Control Fold Change Up"
"MYH7","Early Control Fold Change Up"
"MYL2","Early Control Fold Change Up"
"MYLK2","Early Control Fold Change Up"
"SLN","Early Control Fold Change Up"
"TNNT1","Early Control Fold Change Up"
"TUSC5","Early Control Fold Change Up"
"XIRP2","Early Control Fold Change Up"
"ADAMDEC1","Advanced Early Fold Change Up"
"CLC","Advanced Early Fold Change Up"
"CLEC4C","Advanced Early Fold Change Up"
"COL6A5","Advanced Early Fold Change Up"
"CSNK2B","Advanced Early Fold Change Up"
"CTLA4","Advanced Early Fold Change Up"
"CXCL13","Advanced Early Fold Change Up"
"GPR15","Advanced Early Fold Change Up"
"GSTM1","Advanced Early Fold Change Up"
"KCNQ2","Advanced Early Fold Change Up"
"LINC01215","Advanced Early Fold Change Up"
"LINC01924","Advanced Early Fold Change Up"
"PI3","Advanced Early Fold Change Up"
"PLA2G2D","Advanced Early Fold Change Up"
"PTCRA","Advanced Early Fold Change Up"
"RETN","Advanced Early Fold Change Up"
"STMN2","Advanced Early Fold Change Up"
"TCL1A","Advanced Early Fold Change Up"
"TNFRSF13B","Advanced Early Fold Change Up"
"ZPLD1","Advanced Early Fold Change Up"
"ADIPOQ","Advanced Control Fold Change Up"
"CADM3-AS1","Advanced Control Fold Change Up"
"CFHR1","Advanced Control Fold Change Up"
"CIDEC","Advanced Control Fold Change Up"
"CLC","Advanced Control Fold Change Up"
"CLEC4C","Advanced Control Fold Change Up"
"COL6A5","Advanced Control Fold Change Up"
"DCANP1","Advanced Control Fold Change Up"
"GREM1","Advanced Control Fold Change Up"
