"Gene","Regulation"
"RETN","increased"
"GPR15","increased"
"LINC01924","increased"
"ACKR1","increased"
"GREM1","increased"
"ACTA1","increased"
"COL6A5","increased"
"LINC02133","increased"
"ADAMDEC1","increased"
"GSTM1","increased"
"LOC101926964","increased"
"LTF","increased"
"ADIPOQ","increased"
"TNFRSF13B","increased"
"ATF6B","increased"
"MB","increased"
"STMN2","increased"
"CCL19","increased"
"CSNK2B","increased"
"CTLA4","increased"
"MYBPC1","increased"
"MYL2","increased"
"CXCL13","increased"
"CCL21","increased"
"CXCL6","increased"
"MYLK2","increased"
"DCANP1","increased"
"HLA-DPB1","increased"
"IGLL5","increased"
"KCNQ2","increased"
"CFHR1","increased"
"CIDEA","increased"
"CIDEC","increased"
"CLC","increased"
"DUSP13","increased"
"CLEC4C","increased"
"PI3","increased"
"PLA2G2D","increased"
"FAM30A","increased"
"SLA","increased"
"TDRD1","increased"
"IFI27","increased"
"AIRN","increased"
"ANGPTL3","increased"
"ATP2B3","increased"
"B4GALNT4","increased"
"LBP","increased"
"XIST","increased"
"CADM3","increased"
"CD3D","increased"
"LOC389332","increased"
"CEBPD","increased"
"CFH","increased"
"CXCR3","increased"
"PRR7","increased"
"RARRES1","increased"
"FMO1","increased"
